servicetime,time,numworkers,streamsize
7.32614,1952,4,500
7.43456,1960,4,500
7.43764,1960,4,500
7.5144,1976,4,500
7.62839,1984,4,500
7.63055,1984,4,500
7.7126,2000,4,500
7.8326,2008,4,500
7.83374,2008,4,500
7.87584,2024,4,500
7.95789,2032,4,500
7.91579,2032,4,500
7.91579,2048,4,500
7.95789,2056,4,500
7.91579,2056,4,500
7.87368,2064,4,500
7.83374,2064,4,500
7.74953,2072,4,500
7.62645,2072,4,500
7.50856,2072,4,500
7.39456,2080,4,500
7.28614,2080,4,500
7.14709,2080,4,500
7.04691,2088,4,500
6.95237,2088,4,500
6.82402,2088,4,500
6.72359,2096,4,500
6.62685,2096,4,500
6.50227,2096,4,500
6.41639,2104,4,500
6.33417,2104,4,500
6.23324,2104,4,500
6.16141,2112,4,500
6.09323,2112,4,500
5.99444,2112,4,500
5.91311,2120,4,500
5.83436,2120,4,500
5.73389,2120,4,500
5.66687,2128,4,500
5.60238,2128,4,500
5.52675,2128,4,500
5.4737,2136,4,500
5.42315,2136,4,500
5.34476,2136,4,500
5.27704,2144,4,500
5.2112,2144,4,500
5.12794,2144,4,500
5.07419,2152,4,500
5.02226,2152,4,500
4.96418,2152,4,500
4.92414,2160,4,500
4.88588,2160,4,500
4.82217,2160,4,500
4.76454,2168,4,500
4.70833,2168,4,500
4.63784,2168,4,500
4.59377,2176,4,500
4.55106,2176,4,500
4.50561,2176,4,500
4.4749,2184,4,500
4.44549,2184,4,500
4.39269,2184,4,500
4.34278,2192,4,500
4.29398,2192,4,500
4.23326,2192,4,500
4.19647,2200,4,500
4.16072,2200,4,500
4.12462,2200,4,500
4.1008,2208,4,500
4.07794,2208,4,500
4.03347,2208,4,500
3.98963,2216,4,500
3.94667,2216,4,500
3.89361,2216,4,500
3.86244,2224,4,500
3.83208,2224,4,500
3.80307,2224,4,500
3.78443,2232,4,500
3.76654,2232,4,500
3.72857,2232,4,500
3.6896,2240,4,500
3.65134,2240,4,500
3.60441,2240,4,500
3.57767,2248,4,500
3.55157,2248,4,500
3.52804,2248,4,500
3.5134,2256,4,500
3.49933,2256,4,500
3.46653,2256,4,500
3.43154,2264,4,500
3.39714,2264,4,500
3.35521,2264,4,500
3.33201,2272,4,500
3.30933,2272,4,500
3.29011,2272,4,500
3.27859,2280,4,500
3.26752,2280,4,500
3.23891,2280,4,500
3.20722,2288,4,500
3.17603,2288,4,500
3.15527,2296,4,500
3.14158,2304,4,500
3.12437,2312,4,500
3.12807,2320,4,500
3.1385,2328,4,500
3.12807,2336,4,500
3.12807,2344,4,500
3.1385,2352,4,500
3.14528,2360,4,500
3.15897,2368,4,500
3.19739,2376,4,500
3.24033,2384,4,500
3.29891,2392,4,500
3.3695,2401,4,500
3.45041,2409,4,500
3.53513,2417,4,500
3.62394,2425,4,500
3.74105,2438,4,500
3.83661,2441,4,500
3.93722,2449,4,500
4.04329,2457,4,500
4.15528,2465,4,500
4.2498,2473,4,500
4.37523,2481,4,500
4.50829,2489,4,500
4.64972,2497,4,500
4.80033,2505,4,500
4.96104,2513,4,500
5.14032,2523,4,500
5.32457,2529,4,500
5.52257,2537,4,500
5.73593,2545,4,500
5.96652,2553,4,500
6.20911,2561,4,500
6.48109,2569,4,500
6.77809,2577,4,500
7.10375,2585,4,500
7.42325,2594,4,500
7.67866,2601,4,500
7.86978,2609,4,500
7.99018,2617,4,500
8.03243,2625,4,500
8.02703,2633,4,500
8.02703,2641,4,500
8.02703,2649,4,500
8.02703,2657,4,500
8.02703,2665,4,500
8.02703,2673,4,500
8.02703,2681,4,500
8.02703,2689,4,500
8.02162,2697,4,500
8.01622,2705,4,500
8.01081,2713,4,500
8.00541,2721,4,500
7.97297,2729,4,500
7.94666,2737,4,500
7.94666,2745,4,500
7.94666,2753,4,500
7.94666,2761,4,500
7.97368,2769,4,500
8,2777,4,500
8,2785,4,500
8,2793,4,500
8,2801,4,500
8,2809,4,500
7.98919,2817,4,500
7.98919,2825,4,500
7.99459,2834,4,500
7.99459,2841,4,500
8,2850,4,500
8.01622,2858,4,500
8.02162,2866,4,500
8.02162,2874,4,500
8.02703,2882,4,500
8.02162,2890,4,500
8.02162,2898,4,500
8.02162,2906,4,500
8.02162,2914,4,500
8.02162,2922,4,500
8.02703,2930,4,500
8.02703,2938,4,500
8.02703,2946,4,500
8.02703,2954,4,500
8.02703,2962,4,500
8.02703,2970,4,500
8.02703,2978,4,500
8.02703,2986,4,500
8.02703,2994,4,500
8.02703,3002,4,500
8.02703,3010,4,500
8.02703,3018,4,500
8.02703,3026,4,500
8.02703,3034,4,500
8.02703,3042,4,500
8.02703,3050,4,500
8.02703,3058,4,500
8.02703,3066,4,500
8.02703,3074,4,500
8.02703,3082,4,500
8.02703,3090,4,500
8.03243,3099,4,500
8.03784,3107,4,500
8.04324,3115,4,500
8.04865,3123,4,500
8.04865,3131,4,500
8.04865,3139,4,500
8.04324,3147,4,500
8.03784,3155,4,500
8.03243,3163,4,500
8.03243,3171,4,500
8.02703,3179,4,500
8.02703,3187,4,500
8.02703,3195,4,500
8.02703,3203,4,500
8.02703,3211,4,500
8.02703,3219,4,500
