servicetime,time
8.29,65
8.21857,73
8.1769,81
8.14913,89
8.12913,97
8.11398,105
8.10207,113
8.09246,121
8.08452,129
8.09119,138
8.098,146
8.10487,154
8.1117,162
8.11847,170
8.1118,178
8.10585,186
8.1005,194
8.09567,202
8.09129,210
8.08729,218
8.08362,226
8.08026,234
8.07715,242
8.08117,251
8.08517,259
8.08915,267
8.09308,275
8.09698,283
8.09393,291
8.09108,299
8.08839,307
8.08585,315
8.08389,323
8.07705,331
8.07072,339
8.06486,347
8.05946,355
8.05946,364
8.06486,372
8.07027,380
8.07568,388
8.08108,396
8.08108,404
8.08108,412
8.08108,420
8.08108,428
8.07568,436
8.07027,444
8.06486,452
8.05946,460
8.05405,468
8.05405,476
8.05946,485
8.06486,493
8.07027,501
8.07568,509
8.08108,517
8.09264,527
8.09264,533
8.09865,543
8.10405,551
8.10946,559
8.1033,567
8.10871,575
8.10811,583
8.10811,591
8.11426,600
8.12042,608
8.12658,616
8.13273,624
8.13889,632
8.13889,640
8.13889,648
8.13333,656
8.12718,664
8.12102,672
8.11486,680
8.10871,688
8.10811,696
8.10811,704
8.10811,712
8.11426,721
8.12042,729
8.12658,737
8.13273,745
8.13889,753
8.13889,761
8.13889,769
8.13333,777
8.12718,785
8.12102,793
8.11486,801
8.10871,809
8.10811,817
8.0973,825
8.0973,833
8.08649,841
8.08108,850
8.07568,858
8.08108,866
8.07568,874
8.08108,882
8.08108,890
8.07568,898
8.07027,906
8.06486,914
8.05946,922
8.05405,930
8.05405,938
8.05405,946
8.05405,954
8.05405,962
8.05405,970
8.05946,979
8.06486,987
8.07027,995
8.07568,1003
8.08108,1011
8.07568,1019
8.07027,1027
8.06486,1035
8.05946,1043
8.05405,1051
8.05405,1059
8.05405,1067
8.05946,1076
8.06486,1084
8.07027,1092
8.07568,1100
8.08108,1108
8.08108,1116
8.08108,1124
8.08108,1132
8.08108,1140
8.08108,1149
8.08108,1157
8.08108,1165
8.08108,1173
8.08108,1181
8.08108,1189
8.08108,1197
8.08108,1205
8.08649,1214
8.09189,1222
8.0973,1230
8.1027,1238
8.10811,1246
8.10811,1254
8.10811,1262
8.10811,1270
8.1027,1278
8.1027,1287
8.1027,1295
8.1027,1303
8.1027,1311
8.10811,1319
8.10811,1327
8.10811,1335
8.10811,1343
8.10811,1351
8.10811,1359
8.10811,1367
8.1027,1375
8.0973,1383
8.09189,1391
8.08649,1399
8.08649,1408
8.09189,1416
8.0973,1424
8.1027,1432
8.10811,1440
8.1027,1448
8.0973,1456
8.09189,1464
8.08649,1472
8.08108,1480
8.08108,1488
8.08108,1496
8.08108,1504
8.07568,1512
8.07027,1520
8.07027,1529
8.07027,1537
8.07027,1545
8.07568,1553
8.08108,1561
8.08108,1569
8.08108,1577
8.07568,1585
8.07027,1593
8.06486,1601
8.05946,1609
8.05405,1617
8.05405,1625
8.05405,1633
8.05405,1641
8.05405,1649
8.05946,1658
8.06486,1666
8.07027,1674
8.07568,1682
8.08108,1690
8.08108,1698
8.07568,1706
8.07027,1714
8.06486,1722
8.05946,1730
8.05405,1738
8.05405,1746
8.05405,1754
8.05946,1763
8.06486,1771
8.07027,1779
8.07568,1787
8.08108,1795
8.08108,1803
8.08108,1811
8.08108,1819
8.07568,1827
8.07027,1835
8.06486,1843
8.05946,1851
8.05405,1859
8.05946,1868
8.06486,1876
8.07027,1884
8.07568,1892
8.08108,1900
8.08108,1908
8.08108,1916
8.08108,1924
8.08108,1932
8.08108,1940
8.08108,1948
8.07568,1956
8.07027,1964
8.06486,1972
8.05946,1980
8.05405,1988
8.05946,1997
8.06486,2005
8.07027,2013
8.07568,2021
8.08108,2029
8.08108,2037
8.08108,2045
8.08108,2053
8.07568,2061
8.07027,2069
8.06486,2077
8.05946,2085
8.05405,2093
8.05405,2101
8.05405,2109
8.05405,2117
8.05405,2125
8.05405,2133
8.05405,2141
8.05405,2149
8.01166,2149
7.92906,2149
7.84645,2157
7.75872,2165
7.63291,2165
7.51327,2165
7.43384,2173
7.35442,2181
7.24563,2181
7.14202,2181
7.07464,2189
7.00725,2197
6.90847,2197
6.81419,2197
6.75279,2205
6.6914,2213
6.6013,2213
6.51513,2213
6.45896,2221
6.40279,2229
6.32029,2229
6.24123,2229
6.18965,2237
6.13806,2245
6.06223,2245
5.98944,2245
5.9419,2253
5.89436,2261
5.82443,2261
5.75718,2261
5.71323,2269
5.66928,2277
5.60457,2277
5.54226,2277
5.50151,2285
5.45712,2293
5.39351,2293
5.3321,2293
5.2907,2301
5.2493,2309
5.19362,2309
5.13987,2309
5.10466,2317
5.06946,2325
5.01753,2325
4.96733,2325
4.93443,2333
4.90153,2341
4.85298,2341
4.806,2341
4.77519,2349
4.74438,2357
4.69889,2357
4.65482,2357
4.6259,2365
4.59699,2373
4.55428,2373
4.51286,2373
4.48567,2381
4.45849,2389
4.4183,2389
4.37931,2389
4.35369,2397
4.32808,2405
4.29022,2405
4.25343,2405
4.22926,2413
4.20509,2421
4.16934,2421
4.13459,2421
4.11175,2429
4.0889,2437
4.0551,2437
4.02221,2437
4.00058,2445
4.00058,2453
3.98963,2453
3.97896,2453
3.97896,2461
4.00058,2469
3.98963,2469
3.97896,2469
3.97896,2477
