servicetime,time,numworkers,streamsize
9.17083,27,16,5000
8.0875,33,16,5000
7.46845,38,16,5000
7.0622,43,16,5000
6.77331,48,16,5000
6.55665,53,16,5000
6.38782,58,16,5000
6.2524,63,16,5000
6.16052,68,16,5000
6.08552,73,16,5000
6.0234,78,16,5000
5.97131,83,16,5000
5.90797,89,16,5000
5.85241,94,16,5000
5.80329,99,16,5000
5.75954,104,16,5000
5.72032,109,16,5000
5.68497,114,16,5000
5.65293,119,16,5000
5.62376,124,16,5000
5.5971,129,16,5000
5.58224,134,16,5000
5.56895,139,16,5000
5.55705,144,16,5000
5.54636,149,16,5000
5.52713,155,16,5000
5.50921,160,16,5000
5.49247,165,16,5000
5.47679,170,16,5000
5.46209,175,16,5000
5.44826,180,16,5000
5.43524,185,16,5000
5.42295,190,16,5000
5.41135,195,16,5000
5.40677,200,16,5000
5.4026,205,16,5000
5.39881,210,16,5000
5.39536,215,16,5000
5.38582,221,16,5000
5.37673,226,16,5000
5.36806,231,16,5000
5.35978,236,16,5000
5.35186,241,16,5000
5.34429,246,16,5000
5.33703,251,16,5000
5.33007,256,16,5000
5.3234,261,16,5000
5.31699,266,16,5000
5.31554,271,16,5000
5.31425,276,16,5000
5.31309,281,16,5000
5.31206,286,16,5000
5.30643,292,16,5000
5.22773,297,16,5000
5.15045,302,16,5000
5.07456,307,16,5000
5,312,16,5000
5,317,16,5000
5,322,16,5000
5,327,16,5000
5,332,16,5000
5,337,16,5000
5,342,16,5000
5,347,16,5000
5,352,16,5000
5,357,16,5000
5.01786,362,16,5000
5.03452,368,16,5000
5.05015,373,16,5000
5.06485,378,16,5000
5.06089,383,16,5000
5.05738,388,16,5000
5.05425,393,16,5000
5.05145,398,16,5000
5.04893,403,16,5000
5.04664,408,16,5000
5.04455,413,16,5000
5.04265,418,16,5000
5.0409,423,16,5000
5.03929,428,16,5000
5.0378,433,16,5000
5.04504,439,16,5000
5.0521,444,16,5000
5.05897,449,16,5000
5.06566,454,16,5000
5.06357,459,16,5000
5.06161,464,16,5000
5.05977,469,16,5000
5.05803,474,16,5000
5.05639,479,16,5000
5.05485,484,16,5000
5.05338,489,16,5000
5.05199,494,16,5000
5.05067,499,16,5000
