servicetime,time
8,24
8,32
8,40
8,48
8,56
8,64
8,72
8,80
8,88
8,96
8,104
9.41667,129
9.30769,137
9.21429,145
9.13333,153
9.0625,161
9,169
8.94444,177
8.89474,185
8.85,193
8.80952,201
8.77273,209
8.78261,218
8.75,226
8.72,234
8.69231,242
8.66667,250
8.64286,258
8.62069,266
8.6,274
8.58065,282
8.5625,290
8.54545,298
8.55882,307
8.54286,315
8.54286,323
8.54286,331
8.54286,339
8.54286,347
8.54286,355
8.54286,363
8.54286,371
8.54286,379
8.57143,388
8.57143,396
8.57143,404
8.08571,412
8.08333,420
8.08108,428
8.08108,436
8.08108,444
8.08108,452
8.08108,460
8.08108,468
8.10811,477
8.10811,485
8.10811,493
8.10811,501
8.10811,509
8.08108,517
8.08108,525
8.08108,533
8.08108,541
8.08108,549
8.10811,558
8.10811,566
8.10811,574
8.10811,582
8.10811,590
8.10811,598
8.08108,606
8.08108,614
8.08108,622
8.10811,631
8.10811,639
8.10811,647
8.10811,655
8.10811,663
8.10811,671
8.10811,679
8.08108,687
8.08108,695
8.08108,703
8.08108,711
8.10811,720
8.10811,728
8.10811,736
8.10811,744
8.10811,752
8.10811,760
8.10811,768
8.08108,776
8.08108,784
8.08108,792
8.10811,801
8.10811,809
8.10811,817
8.10811,825
8.10811,833
8.10811,841
8.10811,849
8.08108,857
8.08108,865
8.08108,873
8.08108,881
8.10811,890
8.10811,898
8.10811,906
8.10811,914
8.10811,922
8.08108,930
8.08108,938
8.08108,946
8.08108,954
8.08108,962
8.08108,970
8.10811,979
8.10811,987
8.10811,995
8.10811,1003
8.10811,1011
8.08108,1019
8.08108,1027
8.08108,1035
8.08108,1043
8.08108,1051
8.08108,1059
8.08108,1067
8.10811,1076
8.10811,1084
8.10811,1092
8.08108,1100
8.08108,1108
8.08108,1116
8.08108,1124
8.08108,1132
8.08108,1140
8.08108,1148
8.10811,1157
8.10811,1165
8.10811,1173
8.10811,1181
8.08108,1189
8.08108,1197
8.08108,1205
8.08108,1213
8.08108,1221
8.10811,1230
8.10811,1238
8.10811,1246
8.10811,1254
8.10811,1262
8.10811,1270
8.08108,1278
8.08108,1286
8.08108,1294
8.08108,1302
8.10811,1311
8.10811,1319
8.10811,1327
8.10811,1335
8.10811,1343
8.10811,1351
8.10811,1359
8.10811,1367
8.08108,1375
8.08108,1383
8.10811,1392
8.10811,1400
8.10811,1408
8.10811,1416
8.10811,1424
8.10811,1432
8.10811,1440
8.10811,1448
8.08108,1456
8.08108,1464
8.10811,1473
8.10811,1481
8.10811,1489
8.10811,1497
8.10811,1505
8.10811,1513
8.10811,1521
8.08108,1529
8.08108,1537
8.08108,1545
8.10811,1554
8.10811,1562
8.10811,1570
8.10811,1578
8.10811,1586
8.10811,1594
8.10811,1602
8.08108,1610
8.08108,1618
8.08108,1626
8.08108,1634
8.10811,1643
8.10811,1651
8.10811,1659
8.10811,1667
8.10811,1675
8.10811,1683
8.08108,1691
8.08108,1699
8.08108,1707
8.10811,1716
8.10811,1724
8.10811,1732
8.10811,1740
8.10811,1748
8.10811,1756
8.10811,1764
8.08108,1772
8.08108,1780
8.08108,1788
8.10811,1797
8.10811,1805
8.10811,1813
8.10811,1821
8.10811,1829
8.10811,1837
8.10811,1845
8.08108,1853
8.08108,1861
8.08108,1869
8.10811,1878
8.10811,1886
8.10811,1894
8.10811,1902
8.10811,1910
8.10811,1918
8.10811,1926
8.10811,1934
8.08108,1942
8.08108,1950
8.08108,1958
8.10811,1967
8.10811,1975
8.10811,1983
8.10811,1991
8.10811,1999
8.10811,2007
8.08108,2015
8.08108,2023
8.08108,2031
8.08108,2039
8.08108,2047
8.10811,2056
8.08108,2063
8.10811,2072
8.08108,2079
8.10811,2088
8.05405,2095
8.08108,2104
8.05405,2111
8.08108,2120
8.05405,2127
8.08108,2136
8.05405,2143
8.08108,2152
7.91892,2154
7.81579,2158
7.64103,2159
7.66667,2168
7.48718,2170
7.4,2174
7.2439,2175
7.26829,2184
7.14286,2186
7.04762,2190
6.90698,2191
6.93023,2200
6.81818,2202
6.72727,2206
6.6,2207
6.62222,2216
6.52174,2218
6.43478,2222
6.34043,2224
6.34043,2232
6.25,2234
6.16667,2238
6.08163,2240
6.08163,2248
6,2250
5.92,2254
5.84314,2256
5.82353,2264
5.75,2266
5.67308,2270
5.60377,2272
5.60377,2280
5.53704,2282
5.46296,2286
5.4,2288
5.4,2296
5.33929,2298
5.26786,2302
5.21053,2304
5.21053,2312
5.15517,2314
5.08621,2318
5.0339,2320
5.0339,2328
4.98333,2330
4.91667,2334
4.86885,2336
4.86885,2344
4.82258,2346
4.74194,2350
4.69841,2352
4.71429,2360
4.67188,2362
4.59375,2366
4.55385,2368
4.56923,2376
4.5303,2378
4.45455,2382
4.41791,2384
4.43284,2392
4.39706,2394
4.32353,2398
4.28986,2400
4.30435,2408
4.27143,2410
4.2,2414
4.16901,2416
4.1831,2424
4.15278,2426
4.08333,2430
4.05479,2432
4.06849,2440
4.04054,2442
3.97297,2446
3.94667,2448
4.02703,2456
4,2458
3.97297,2462
3.94667,2464
4.02703,2472
4,2474
3.97297,2478
3.94667,2480
4.02703,2488
4,2490
3.97297,2494
3.94667,2496
4.02703,2504
4,2506
3.97297,2510
3.94667,2512
4.02703,2520
4,2522
3.97297,2526
3.94667,2528
4.02703,2536
4,2538
3.97297,2542
3.94667,2544
4.02703,2552
4,2554
3.97297,2558
3.94667,2560
4.02703,2568
4,2570
3.97297,2574
3.94667,2576
4.02703,2584
4,2586
3.97297,2590
3.94667,2592
4.02703,2600
4,2602
3.97297,2606
3.94667,2608
4.02703,2616
4,2618
3.97297,2622
3.94667,2624
4.02703,2632
4,2634
3.97297,2638
3.94667,2640
4.02703,2648
4,2650
3.97297,2654
3.94667,2656
4.02703,2664
4,2666
3.97297,2670
3.94667,2672
4.02703,2680
4,2682
3.97297,2686
3.94667,2688
4.02703,2696
4,2698
3.97297,2702
3.94667,2704
4.02703,2712
4,2714
3.97297,2718
3.94667,2720
4.02703,2728
4,2730
3.97297,2734
3.94667,2736
4.02703,2744
4,2746
3.97297,2750
3.94667,2752
4.02703,2760
4,2762
3.97297,2766
3.94667,2768
4.02703,2776
4,2778
3.97297,2782
3.94667,2784
4.02703,2792
4,2794
3.97297,2798
3.94667,2800
4.02703,2808
4,2810
3.97297,2814
3.94667,2816
4.02703,2824
4,2826
3.97297,2830
3.94667,2832
4.02703,2840
4,2842
3.97297,2846
3.94667,2848
4.02703,2856
4,2858
3.97297,2862
3.94667,2864
4.02703,2872
4,2874
3.97297,2878
3.94667,2880
4.02703,2888
4,2890
3.97297,2894
3.94667,2896
4.02703,2904
4,2906
3.97297,2910
3.94667,2912
4.02703,2920
4,2922
3.97297,2926
3.94667,2928
4.02703,2936
4,2938
3.97297,2942
3.94667,2944
4.02703,2952
4,2954
3.97297,2958
3.94667,2960
4.02703,2968
4,2970
3.97297,2974
3.94667,2976
4.02703,2984
4,2986
3.97297,2990
3.94667,2992
