throughput,time
0.125,64
0.125,72
0.125,80
0.125,88
0.125,96
0.125,104
0.121239,129
0.117727,137
0.114432,145
0.11133,153
0.108399,161
0.109382,169
0.110255,177
0.111034,185
0.111736,193
0.112369,201
0.112945,209
0.113357,218
0.113729,226
0.114066,234
0.114372,242
0.114651,250
0.115019,258
0.115362,266
0.115682,274
0.115982,282
0.116262,290
0.116526,298
0.116694,307
0.116849,315
0.116952,323
0.117006,331
0.117013,339
0.117057,347
0.117057,355
0.117057,363
0.117057,371
0.117057,379
0.116979,388
0.116901,396
0.116823,404
0.118146,412
0.119477,420
0.120893,428
0.122309,436
0.123725,444
0.123739,452
0.123746,460
0.123746,468
0.123663,477
0.123581,485
0.123498,493
0.123416,501
0.123333,509
0.123416,517
0.123498,525
0.123581,533
0.123663,541
0.123746,549
0.123663,558
0.123581,566
0.123498,574
0.123416,582
0.123333,590
0.123333,598
0.123416,606
0.123498,614
0.123581,622
0.123581,631
0.123581,639
0.123498,647
0.123416,655
0.123333,663
0.123333,671
0.123333,679
0.123416,687
0.123498,695
0.123581,703
0.123663,711
0.123663,720
0.123581,728
0.123498,736
0.123416,744
0.123333,752
0.123333,760
0.123333,768
0.123416,776
0.123498,784
0.123581,792
0.123581,801
0.123581,809
0.123498,817
0.123416,825
0.123333,833
0.123333,841
0.123333,849
0.123416,857
0.123498,865
0.123581,873
0.123663,881
0.123663,890
0.123581,898
0.123498,906
0.123416,914
0.123333,922
0.123416,930
0.123498,938
0.123581,946
0.123663,954
0.123746,962
0.123746,970
0.123663,979
0.123581,987
0.123498,995
0.123416,1003
0.123333,1011
0.123416,1019
0.123498,1027
0.123581,1035
0.123663,1043
0.123746,1051
0.123746,1059
0.123746,1067
0.123663,1076
0.123581,1084
0.123498,1092
0.123498,1100
0.123498,1108
0.123581,1116
0.123663,1124
0.123746,1132
0.123746,1140
0.123746,1148
0.123663,1157
0.123581,1165
0.123498,1173
0.123416,1181
0.123416,1189
0.123498,1197
0.123581,1205
0.123663,1213
0.123746,1221
0.123663,1230
0.123581,1238
