throughput,time,numworkers,streamsize
0.025,40,500,300
0.0444444,45,500,300
0.0588235,51,500,300
0.0714286,56,500,300
0.0819672,61,500,300
0.0909091,66,500,300
0.0985915,71,500,300
0.105263,76,500,300
0.109756,82,500,300
0.114943,87,500,300
0.119565,92,500,300
0.122449,98,500,300
0.126214,103,500,300
0.12963,108,500,300
0.131579,114,500,300
0.134454,119,500,300
0.137097,124,500,300
0.139535,129,500,300
0.141791,134,500,300
0.142857,140,500,300
0.144828,145,500,300
0.146667,150,500,300
0.147436,156,500,300
0.149068,161,500,300
0.150602,166,500,300
0.152047,171,500,300
0.153409,176,500,300
0.153846,182,500,300
0.15508,187,500,300
0.15625,192,500,300
0.156566,198,500,300
0.157635,203,500,300
0.158654,208,500,300
0.158879,214,500,300
0.159817,219,500,300
0.160714,224,500,300
0.16087,230,500,300
0.161702,235,500,300
0.1625,240,500,300
0.163265,245,500,300
0.163347,251,500,300
0.164062,256,500,300
0.164751,261,500,300
0.164794,267,500,300
0.165441,272,500,300
0.166065,277,500,300
0.166667,282,500,300
0.166667,288,500,300
0.167235,293,500,300
0.167785,298,500,300
0.167763,304,500,300
0.2,309,500,300
0.2,314,500,300
0.2,320,500,300
0.190476,325,500,300
0.192308,330,500,300
0.193548,335,500,300
0.194444,341,500,300
0.190476,346,500,300
0.191489,351,500,300
0.192308,357,500,300
0.189655,362,500,300
0.190476,367,500,300
0.191176,373,500,300
0.189189,378,500,300
0.189873,383,500,300
0.190476,389,500,300
0.188889,394,500,300
0.189474,399,500,300
0.19,405,500,300
0.188679,410,500,300
0.189189,415,500,300
0.189655,421,500,300
0.188525,426,500,300
0.188976,431,500,300
0.189394,437,500,300
0.188406,442,500,300
0.188811,447,500,300
0.189189,452,500,300
0.189542,458,500,300
0.188679,463,500,300
0.189024,469,500,300
0.188235,474,500,300
0.188571,479,500,300
0.188889,485,500,300
0.189189,490,500,300
0.188482,495,500,300
0.188776,500,500,300
0.189055,506,500,300
0.188406,511,500,300
0.188679,516,500,300
0.18894,522,500,300
0.188341,527,500,300
0.188596,532,500,300
0.188841,538,500,300
0.188285,543,500,300
0.188525,548,500,300
0.188755,554,500,300
0.188235,559,500,300
0.188462,564,500,300
0.188679,570,500,300
0.188192,575,500,300
0.188406,580,500,300
0.188612,586,500,300
0.188153,591,500,300
0.188356,596,500,300
0.188552,602,500,300
0.188742,607,500,300
0.2,612,500,300
0.2,617,500,300
0.2,623,500,300
0.190476,628,500,300
0.192308,633,500,300
0.193548,638,500,300
0.194444,644,500,300
0.190476,649,500,300
0.191489,654,500,300
0.192308,659,500,300
0.189655,665,500,300
0.190476,670,500,300
0.191176,675,500,300
0.189189,681,500,300
0.189873,686,500,300
0.190476,691,500,300
0.188889,697,500,300
0.189474,702,500,300
0.19,707,500,300
0.190476,713,500,300
0.189189,718,500,300
0.189655,723,500,300
0.190083,729,500,300
0.188976,734,500,300
0.189394,739,500,300
0.189781,745,500,300
0.188811,750,500,300
0.189189,755,500,300
0.189542,761,500,300
0.188679,766,500,300
0.189024,771,500,300
0.189349,777,500,300
0.188571,782,500,300
0.188889,787,500,300
0.189189,792,500,300
0.189474,798,500,300
0.189744,802,500,300
0.189055,808,500,300
0.18932,813,500,300
0.189573,818,500,300
0.18894,824,500,300
0.189189,829,500,300
0.189427,834,500,300
0.189655,839,500,300
0.189076,845,500,300
0.1893,850,500,300
0.189516,855,500,300
0.189723,860,500,300
0.189189,866,500,300
0.189394,871,500,300
0.189591,876,500,300
0.189781,881,500,300
0.189964,886,500,300
0.189474,892,500,300
0.189655,897,500,300
0.189831,902,500,300
0.19,907,500,300
0.2,913,500,300
0.2,918,500,300
0.2,923,500,300
0.190476,929,500,300
0.192308,934,500,300
0.193548,939,500,300
0.194444,944,500,300
0.190476,950,500,300
0.191489,955,500,300
0.192308,960,500,300
0.189655,966,500,300
0.190476,971,500,300
0.191176,976,500,300
0.191781,981,500,300
0.189873,987,500,300
0.190476,992,500,300
0.191011,997,500,300
0.191489,1002,500,300
0.191919,1007,500,300
0.192308,1012,500,300
0.190909,1018,500,300
0.191304,1023,500,300
0.191667,1028,500,300
