servicetime,time,numworkers,streamsize
17,17,16,5000
11.5,23,16,5000
9.33333,28,16,5000
8.25,33,16,5000
7.6,38,16,5000
7.16667,43,16,5000
6.85714,48,16,5000
6.625,53,16,5000
6.44444,58,16,5000
6.3,63,16,5000
6.18182,68,16,5000
6.08333,73,16,5000
6.07692,79,16,5000
6,84,16,5000
5.93333,89,16,5000
5.875,94,16,5000
5.82353,99,16,5000
5.77778,104,16,5000
5.73684,109,16,5000
5.7,114,16,5000
5.66667,119,16,5000
5.63636,124,16,5000
5.6087,129,16,5000
5.58333,134,16,5000
5.56,139,16,5000
5.57692,145,16,5000
5.55556,150,16,5000
5.53571,155,16,5000
5.51724,160,16,5000
5.5,165,16,5000
5.48387,170,16,5000
5.46875,175,16,5000
5.45455,180,16,5000
5.44118,185,16,5000
5.42857,190,16,5000
5.41667,195,16,5000
5.40541,200,16,5000
5.39474,205,16,5000
5.41026,211,16,5000
5.4,216,16,5000
5.39024,221,16,5000
5.38095,226,16,5000
5.37209,231,16,5000
5.36364,236,16,5000
5.35556,241,16,5000
5.34783,246,16,5000
5.34043,251,16,5000
5.33333,256,16,5000
5.32653,261,16,5000
5.32,266,16,5000
5.31373,271,16,5000
5.30769,276,16,5000
5.32075,282,16,5000
5.31481,287,16,5000
5.30909,292,16,5000
5.30357,297,16,5000
5.29825,302,16,5000
5,307,16,5000
5,312,16,5000
5,317,16,5000
5,322,16,5000
5,327,16,5000
5,332,16,5000
5,337,16,5000
5,342,16,5000
5,347,16,5000
5,352,16,5000
5,358,16,5000
5,363,16,5000
5,368,16,5000
5.07143,373,16,5000
5.06667,378,16,5000
5.0625,383,16,5000
5.05882,388,16,5000
5.05556,393,16,5000
5.05263,398,16,5000
5.05,403,16,5000
5.04762,408,16,5000
5.04545,413,16,5000
5.04348,418,16,5000
5.04167,423,16,5000
5.04,429,16,5000
5.03846,434,16,5000
5.03704,439,16,5000
5.03571,444,16,5000
5.06897,449,16,5000
5.06667,454,16,5000
5.06452,459,16,5000
5.0625,464,16,5000
5.06061,469,16,5000
5.05882,474,16,5000
5.05714,479,16,5000
5.05556,484,16,5000
5.05405,489,16,5000
5.05263,494,16,5000
5.05128,500,16,5000
5.05,505,16,5000
5.04878,510,16,5000
5.04762,515,16,5000
5.06977,520,16,5000
5.06818,525,16,5000
5.06667,530,16,5000
5.06522,535,16,5000
5.06383,540,16,5000
5.0625,545,16,5000
5.06122,550,16,5000
5.06,555,16,5000
5.05882,560,16,5000
5.05769,565,16,5000
5.0566,570,16,5000
5.05556,576,16,5000
5.05455,581,16,5000
5.07143,586,16,5000
5.07018,591,16,5000
5.06897,596,16,5000
5.0678,601,16,5000
5.06667,606,16,5000
5,611,16,5000
5,616,16,5000
5,621,16,5000
5,626,16,5000
5,631,16,5000
5,637,16,5000
5,642,16,5000
5,647,16,5000
5,652,16,5000
5,657,16,5000
5,662,16,5000
5,667,16,5000
5.07692,672,16,5000
5.07143,677,16,5000
5.06667,682,16,5000
5.0625,687,16,5000
5.05882,693,16,5000
5.05556,698,16,5000
5.05263,703,16,5000
5.05,708,16,5000
5.04762,713,16,5000
5.04545,718,16,5000
5.04348,723,16,5000
5.04167,728,16,5000
5.04,733,16,5000
5.07692,738,16,5000
5.07407,743,16,5000
5.07143,748,16,5000
5.06897,753,16,5000
5.06667,759,16,5000
5.06452,764,16,5000
5.0625,769,16,5000
5.06061,774,16,5000
5.05882,779,16,5000
5.05714,784,16,5000
5.05556,789,16,5000
5.05405,794,16,5000
5.07895,799,16,5000
5.07692,804,16,5000
5.075,809,16,5000
5.07317,814,16,5000
5.07143,819,16,5000
5.06977,825,16,5000
5.06818,830,16,5000
5.06667,835,16,5000
5.06522,840,16,5000
5.06383,845,16,5000
5.0625,850,16,5000
5.08163,856,16,5000
5.08,861,16,5000
5.07843,866,16,5000
5.07692,871,16,5000
5.07547,876,16,5000
5.07407,881,16,5000
5.09091,886,16,5000
5.08929,891,16,5000
5.08772,896,16,5000
5.08621,901,16,5000
5.08475,906,16,5000
5,912,16,5000
5,917,16,5000
5,922,16,5000
5,927,16,5000
5,932,16,5000
5,937,16,5000
5,942,16,5000
5,947,16,5000
5,952,16,5000
5,957,16,5000
5,962,16,5000
