servicetime,time,numworkers,streamsize
18,18,64,500
11.5,23,64,500
9.33333,28,64,500
8.25,33,64,500
7.6,38,64,500
7.16667,43,64,500
7,49,64,500
6.75,54,64,500
6.55556,59,64,500
6.4,64,64,500
6.27273,69,64,500
6.16667,74,64,500
6.07692,79,64,500
6,84,64,500
5.93333,89,64,500
5.875,94,64,500
5.82353,99,64,500
5.77778,104,64,500
5.73684,109,64,500
5.7,114,64,500
5.71429,120,64,500
5.68182,125,64,500
5.65217,130,64,500
5.625,135,64,500
5.6,140,64,500
5.57692,145,64,500
5.55556,150,64,500
5.53571,155,64,500
5.51724,160,64,500
5.5,165,64,500
5.48387,170,64,500
5.46875,175,64,500
5.48485,181,64,500
5.47059,186,64,500
5.45714,191,64,500
5.44444,196,64,500
5.43243,201,64,500
5.42105,206,64,500
5.41026,211,64,500
5.4,216,64,500
5.39024,221,64,500
5.38095,226,64,500
5.37209,231,64,500
5.38636,237,64,500
5.37778,242,64,500
5.36957,247,64,500
5.3617,252,64,500
5.35417,257,64,500
5.34694,262,64,500
5.34,267,64,500
5.33333,272,64,500
5.32692,277,64,500
5.33962,283,64,500
5.33333,288,64,500
5.32727,293,64,500
5.32143,298,64,500
5.31579,303,64,500
5,308,64,500
5,313,64,500
5,318,64,500
5,323,64,500
5,329,64,500
5,334,64,500
5,339,64,500
5,344,64,500
5,349,64,500
5,354,64,500
5.09091,359,64,500
5.08333,364,64,500
5.07692,369,64,500
5.07143,374,64,500
5.06667,379,64,500
5.0625,385,64,500
5.05882,390,64,500
5.05556,395,64,500
5.05263,400,64,500
5.05,405,64,500
5.04762,410,64,500
5.09091,415,64,500
5.08696,420,64,500
5.08333,425,64,500
5.08,430,64,500
5.07692,436,64,500
5.07407,441,64,500
5.07143,446,64,500
5.06897,451,64,500
5.06667,456,64,500
5.06452,461,64,500
5.0625,466,64,500
5.09091,471,64,500
5.08824,476,64,500
5.08571,481,64,500
5.08333,486,64,500
5.08108,492,64,500
5.07895,497,64,500
5.07692,502,64,500
5.075,507,64,500
5.07317,512,64,500
5.07143,517,64,500
5.06977,522,64,500
5.27273,535,64,500
5.26667,540,64,500
5.26087,545,64,500
5.25532,550,64,500
5.25,555,64,500
5.2449,560,64,500
5.24,566,64,500
5.23529,571,64,500
5.23077,576,64,500
5.22642,581,64,500
5.22222,586,64,500
5.21818,591,64,500
