throughput,time,numworkers,streamsize
0.0641659,50,500,300
0.0757821,55,500,300
0.0857241,61,500,300
0.0941828,66,500,300
0.10113,71,500,300
0.107138,76,500,300
0.112382,81,500,300
0.116678,87,500,300
0.120793,92,500,300
0.124464,97,500,300
0.127468,103,500,300
0.130469,108,500,300
0.13319,113,500,300
0.135666,118,500,300
0.138219,124,500,300
0.14032,129,500,300
0.142253,134,500,300
0.144036,139,500,300
0.145447,145,500,300
0.147,150,500,300
0.148443,155,500,300
0.149788,160,500,300
0.151282,166,500,300
0.152476,171,500,300
0.153596,176,500,300
0.154646,181,500,300
0.155436,187,500,300
0.156383,192,500,300
0.157276,197,500,300
0.157933,203,500,300
0.158746,208,500,300
0.159516,213,500,300
0.16007,219,500,300
0.160776,224,500,300
0.161446,229,500,300
0.162084,234,500,300
0.162704,240,500,300
0.163294,245,500,300
0.163856,250,500,300
0.164239,256,500,300
0.164762,261,500,300
0.165263,266,500,300
0.165742,271,500,300
0.16621,277,500,300
0.166658,282,500,300
0.167089,287,500,300
0.167363,293,500,300
0.175696,298,500,300
0.183887,303,500,300
0.191941,309,500,300
0.197619,314,500,300
0.195696,319,500,300
0.194083,324,500,300
0.192694,330,500,300
0.192694,335,500,300
0.19249,340,500,300
0.192179,346,500,300
0.190982,351,500,300
0.190982,356,500,300
0.190904,362,500,300
0.190124,367,500,300
0.190179,372,500,300
0.190179,378,500,300
0.189607,383,500,300
0.189678,388,500,300
0.18971,394,500,300
0.18926,399,500,300
0.189336,404,500,300
0.189381,410,500,300
0.189012,415,500,300
0.189086,420,500,300
0.189138,426,500,300
0.188825,431,500,300
0.188897,436,500,300
0.18895,441,500,300
0.188987,447,500,300
0.189056,452,500,300
0.189109,458,500,300
0.18887,463,500,300
0.188628,468,500,300
0.18868,474,500,300
0.188721,479,500,300
0.188783,484,500,300
0.188834,489,500,300
0.188875,495,500,300
0.188679,500,500,300
0.188729,505,500,300
0.18877,511,500,300
0.188591,516,500,300
0.188639,521,500,300
0.18868,527,500,300
0.188516,532,500,300
0.188562,537,500,300
0.188601,543,500,300
0.18845,548,500,300
0.188494,553,500,300
0.188533,559,500,300
0.188392,564,500,300
0.188435,569,500,300
0.188472,575,500,300
0.188341,580,500,300
0.188382,585,500,300
0.188418,591,500,300
0.188451,596,500,300
0.191413,601,500,300
0.194323,606,500,300
0.197185,612,500,300
0.197619,617,500,300
0.195696,622,500,300
0.194083,627,500,300
0.192694,633,500,300
0.192694,638,500,300
0.19249,643,500,300
0.192179,648,500,300
0.190982,654,500,300
0.190982,659,500,300
0.190904,664,500,300
