throughput,time,numworkers,streamsize
0.111723,27,16,5000
0.124867,33,16,5000
0.13454,38,16,5000
0.141973,43,16,5000
0.147871,48,16,5000
0.15267,53,16,5000
0.156653,58,16,5000
0.160013,63,16,5000
0.162359,68,16,5000
0.164343,73,16,5000
0.166037,78,16,5000
0.167494,83,16,5000
0.169284,89,16,5000
0.170887,94,16,5000
0.17233,99,16,5000
0.173636,104,16,5000
0.174825,109,16,5000
0.17591,114,16,5000
0.176906,119,16,5000
0.177822,124,16,5000
0.178669,129,16,5000
0.179141,134,16,5000
0.179568,139,16,5000
0.179953,144,16,5000
0.180301,149,16,5000
0.180928,155,16,5000
0.181517,160,16,5000
0.18207,165,16,5000
0.18259,170,16,5000
0.183082,175,16,5000
0.183546,180,16,5000
0.183986,185,16,5000
0.184402,190,16,5000
0.184798,195,16,5000
0.184954,200,16,5000
0.185096,205,16,5000
0.185226,210,16,5000
0.185345,215,16,5000
0.185673,221,16,5000
0.185987,226,16,5000
0.186288,231,16,5000
0.186575,236,16,5000
0.186851,241,16,5000
0.187116,246,16,5000
0.187371,251,16,5000
0.187615,256,16,5000
0.18785,261,16,5000
0.188077,266,16,5000
0.188128,271,16,5000
0.188174,276,16,5000
0.188215,281,16,5000
0.188251,286,16,5000
0.188451,292,16,5000
0.191413,297,16,5000
0.194323,302,16,5000
0.197185,307,16,5000
0.2,312,16,5000
0.2,317,16,5000
0.2,322,16,5000
0.2,327,16,5000
0.2,332,16,5000
0.2,337,16,5000
0.2,342,16,5000
0.2,347,16,5000
0.2,352,16,5000
0.2,357,16,5000
0.199296,362,16,5000
0.198638,368,16,5000
0.198021,373,16,5000
0.197439,378,16,5000
0.197594,383,16,5000
0.197731,388,16,5000
0.197853,393,16,5000
0.197963,398,16,5000
0.198062,403,16,5000
0.198152,408,16,5000
0.198234,413,16,5000
0.198308,418,16,5000
0.198377,423,16,5000
0.198441,428,16,5000
0.198499,433,16,5000
0.198216,439,16,5000
0.19794,444,16,5000
0.19767,449,16,5000
0.197408,454,16,5000
0.197489,459,16,5000
0.197566,464,16,5000
0.197638,469,16,5000
0.197705,474,16,5000
0.197769,479,16,5000
0.19783,484,16,5000
0.197887,489,16,5000
0.197942,494,16,5000
0.197993,499,16,5000
0.198043,504,16,5000
0.197862,510,16,5000
0.197684,515,16,5000
0.19751,520,16,5000
0.197338,525,16,5000
0.197395,530,16,5000
0.197451,535,16,5000
0.197504,540,16,5000
0.197555,545,16,5000
0.197604,550,16,5000
0.197651,555,16,5000
0.197696,560,16,5000
0.197739,565,16,5000
0.197781,570,16,5000
0.197647,575,16,5000
0.197515,580,16,5000
0.197384,586,16,5000
0.197255,591,16,5000
0.197301,596,16,5000
0.197993,601,16,5000
0.198673,606,16,5000
0.199342,611,16,5000
0.2,616,16,5000
0.2,621,16,5000
0.2,626,16,5000
0.2,631,16,5000
0.2,636,16,5000
0.2,641,16,5000
0.2,647,16,5000
0.2,652,16,5000
0.2,657,16,5000
0.199242,662,16,5000
0.198538,667,16,5000
0.19788,672,16,5000
0.197263,677,16,5000
0.197439,682,16,5000
0.197594,687,16,5000
0.197731,692,16,5000
0.197853,697,16,5000
0.197963,703,16,5000
0.198062,708,16,5000
0.198152,713,16,5000
0.198234,718,16,5000
0.198308,723,16,5000
0.198001,728,16,5000
0.197702,733,16,5000
0.197411,738,16,5000
0.197128,743,16,5000
0.197228,748,16,5000
0.197321,753,16,5000
0.197408,758,16,5000
0.197489,763,16,5000
0.197566,769,16,5000
0.197638,774,16,5000
0.197705,779,16,5000
0.197769,784,16,5000
0.197574,789,16,5000
0.197381,794,16,5000
0.197192,799,16,5000
0.197005,804,16,5000
0.197078,809,16,5000
0.197148,814,16,5000
0.197214,819,16,5000
0.197277,824,16,5000
0.197338,829,16,5000
0.197395,835,16,5000
0.197451,840,16,5000
0.197305,845,16,5000
0.197162,850,16,5000
0.19702,855,16,5000
0.19688,860,16,5000
0.196939,866,16,5000
0.196997,871,16,5000
0.196876,876,16,5000
0.196757,881,16,5000
0.196638,886,16,5000
0.19652,891,16,5000
0.19658,896,16,5000
0.197457,901,16,5000
0.198319,906,16,5000
0.199167,911,16,5000
0.2,916,16,5000
0.2,922,16,5000
0.2,927,16,5000
0.2,932,16,5000
0.2,937,16,5000
0.2,942,16,5000
0.2,947,16,5000
0.2,952,16,5000
0.19918,957,16,5000
0.198423,962,16,5000
0.197719,967,16,5000
0.197061,972,16,5000
0.197263,978,16,5000
0.197439,983,16,5000
0.197594,988,16,5000
0.197731,993,16,5000
0.197853,998,16,5000
0.197963,1003,16,5000
0.198062,1008,16,5000
0.197728,1013,16,5000
0.197403,1018,16,5000
0.197088,1023,16,5000
0.196781,1028,16,5000
0.196905,1033,16,5000
0.197021,1039,16,5000
0.197128,1044,16,5000
0.197228,1049,16,5000
0.197321,1054,16,5000
0.197408,1059,16,5000
0.197489,1064,16,5000
0.197566,1069,16,5000
0.197638,1074,16,5000
0.197705,1079,16,5000
0.197506,1084,16,5000
0.197311,1089,16,5000
0.197118,1094,16,5000
0.196928,1099,16,5000
0.197005,1105,16,5000
0.197078,1110,16,5000
0.197148,1115,16,5000
0.197214,1120,16,5000
0.197277,1125,16,5000
0.197338,1130,16,5000
0.197395,1135,16,5000
0.197451,1140,16,5000
0.197504,1145,16,5000
0.19736,1150,16,5000
0.197218,1155,16,5000
0.197078,1160,16,5000
0.196939,1165,16,5000
0.196997,1170,16,5000
0.197052,1176,16,5000
0.197106,1181,16,5000
0.197157,1186,16,5000
0.197207,1191,16,5000
0.197255,1196,16,5000
0.197301,1201,16,5000
0.197993,1206,16,5000
0.198673,1211,16,5000
0.199342,1216,16,5000
0.2,1221,16,5000
0.2,1226,16,5000
0.2,1231,16,5000
0.2,1236,16,5000
0.2,1241,16,5000
