throughput,time
0.125,24
0.125,32
0.125,40
0.125,48
0.125,56
0.125,64
0.125,72
0.125,80
0.125,88
0.125,96
0.125,104
0.106195,129
0.107438,137
0.108527,145
0.109489,153
0.110345,161
0.111111,169
0.111801,177
0.112426,185
0.112994,193
0.113514,201
0.11399,209
0.113861,218
0.114286,226
0.114679,234
0.115044,242
0.115385,250
0.115702,258
0.116,266
0.116279,274
0.116541,282
0.116788,290
0.117021,298
0.116838,307
0.117057,315
0.117057,323
0.117057,331
0.117057,339
0.117057,347
0.117057,355
0.117057,363
0.117057,371
0.117057,379
0.116667,388
0.116667,396
0.116667,404
0.123675,412
0.123711,420
0.123746,428
0.123746,436
0.123746,444
0.123746,452
0.123746,460
0.123746,468
0.123333,477
0.123333,485
0.123333,493
0.123333,501
0.123333,509
0.123746,517
0.123746,525
0.123746,533
0.123746,541
0.123746,549
0.123333,558
0.123333,566
0.123333,574
0.123333,582
0.123333,590
0.123333,598
0.123746,606
0.123746,614
0.123746,622
0.123333,631
0.123333,639
0.123333,647
0.123333,655
0.123333,663
0.123333,671
0.123333,679
0.123746,687
0.123746,695
0.123746,703
0.123746,711
0.123333,720
0.123333,728
0.123333,736
0.123333,744
0.123333,752
0.123333,760
0.123333,768
0.123746,776
0.123746,784
0.123746,792
0.123333,801
0.123333,809
0.123333,817
0.123333,825
0.123333,833
0.123333,841
0.123333,849
0.123746,857
0.123746,865
0.123746,873
0.123746,881
0.123333,890
0.123333,898
0.123333,906
0.123333,914
0.123333,922
0.123746,930
0.123746,938
0.123746,946
0.123746,954
0.123746,962
0.123746,970
0.123333,979
0.123333,987
0.123333,995
0.123333,1003
0.123333,1011
0.123746,1019
0.123746,1027
0.123746,1035
0.123746,1043
0.123746,1051
0.123746,1059
0.123746,1067
0.123333,1076
0.123333,1084
0.123333,1092
0.123746,1100
0.123746,1108
0.123746,1116
0.123746,1124
0.123746,1132
0.123746,1140
0.123746,1148
0.123333,1157
0.123333,1165
0.123333,1173
0.123333,1181
0.123746,1189
0.123746,1197
0.123746,1205
0.123746,1213
0.123746,1221
0.123333,1230
0.123333,1238
0.123333,1246
0.123333,1254
0.123333,1262
0.123333,1270
0.123746,1278
0.123746,1286
0.123746,1294
0.123746,1302
0.123333,1311
0.123333,1319
0.123333,1327
0.123333,1335
0.123333,1343
0.123333,1351
0.123333,1359
0.123333,1367
0.123746,1375
0.123746,1383
0.123333,1392
0.123333,1400
0.123333,1408
0.123333,1416
0.123333,1424
0.123333,1432
0.123333,1440
0.123333,1448
0.123746,1456
0.123746,1464
0.123333,1473
0.123333,1481
0.123333,1489
0.123333,1497
0.123333,1505
0.123333,1513
0.123333,1521
0.123746,1529
0.123746,1537
0.123746,1545
0.123333,1554
0.123333,1562
0.123333,1570
0.123333,1578
0.123333,1586
0.123333,1594
0.123333,1602
0.123746,1610
0.123746,1618
0.123746,1626
0.123746,1634
0.123333,1643
0.123333,1651
0.123333,1659
0.123333,1667
0.123333,1675
0.123333,1683
0.123746,1691
0.123746,1699
0.123746,1707
0.123333,1716
0.123333,1724
0.123333,1732
0.123333,1740
0.123333,1748
0.123333,1756
0.123333,1764
0.123746,1772
0.123746,1780
0.123746,1788
0.123333,1797
0.123333,1805
0.123333,1813
0.123333,1821
0.123333,1829
0.123333,1837
0.123333,1845
0.123746,1853
0.123746,1861
0.123746,1869
0.123333,1878
0.123333,1886
0.123333,1894
0.123333,1902
0.123333,1910
0.123333,1918
0.123333,1926
0.123333,1934
0.123746,1942
0.123746,1950
0.123746,1958
0.123333,1967
0.123333,1975
0.123333,1983
0.123333,1991
0.123333,1999
0.123333,2007
0.123746,2015
0.123746,2023
0.123746,2031
0.123746,2039
0.123746,2047
0.123333,2056
0.123746,2063
0.123333,2072
0.123746,2079
0.123333,2088
0.124161,2095
0.123746,2104
0.124161,2111
0.123746,2120
0.124161,2127
0.123746,2136
0.124161,2143
0.123746,2152
0.12628,2154
0.127946,2158
0.130872,2159
0.130435,2168
0.133562,2170
0.135135,2174
0.138047,2175
0.137584,2184
0.14,2186
0.141892,2190
0.144781,2191
0.144295,2200
0.146667,2202
0.148649,2206
0.151515,2207
0.151007,2216
0.153333,2218
0.155405,2222
0.157718,2224
0.157718,2232
0.16,2234
0.162162,2238
0.16443,2240
0.16443,2248
0.166667,2250
0.168919,2254
0.171141,2256
0.171717,2264
0.173913,2266
0.176271,2270
0.178451,2272
0.178451,2280
0.180602,2282
0.183051,2286
