throughput,time
0.142857,24
0.0606061,50
0.0731707,58
0.0816327,66
0.0877193,74
0.0923077,82
0.0958904,90
0.0987654,98
0.101124,106
0.103093,114
0.104762,122
0.106195,130
0.106557,139
0.107692,147
0.108696,155
0.109589,163
0.11039,171
0.111111,179
0.111765,187
0.11236,195
0.112903,203
0.113402,211
0.113861,219
0.114286,227
0.114679,235
0.115044,243
0.115385,251
0.115702,259
0.116,267
0.11583,276
0.116105,284
0.116364,292
0.116608,300
0.116838,308
0.117057,316
0.116667,324
0.124113,332
0.124138,340
0.124161,348
0.124161,356
0.124161,364
0.124161,372
0.124161,380
0.124161,388
0.124161,396
0.123746,405
0.123746,413
0.123746,421
0.123746,429
0.124161,437
0.124161,445
0.124161,453
0.124161,461
0.124161,469
0.124161,477
0.124161,485
0.123746,494
0.123746,502
0.123746,510
0.123746,518
0.123746,526
0.123746,534
0.123746,542
0.123746,550
0.123746,558
0.123333,567
0.123746,575
0.123746,583
0.123746,591
0.123746,599
0.123746,607
0.123746,615
0.123746,623
0.123333,632
0.122449,642
0.122034,651
0.122034,659
0.122034,667
0.121622,676
0.121622,684
0.121622,692
0.121622,701
0.121622,709
0.121622,717
0.121622,725
0.121622,733
0.121212,742
0.121212,750
0.121212,758
0.121212,766
0.121212,774
0.121212,782
0.121622,790
0.121622,798
0.121622,806
0.121622,814
0.121622,822
0.121622,830
0.121212,839
0.121212,847
0.121212,855
0.121622,863
0.121622,871
0.121622,879
0.121622,887
0.121622,895
0.121622,903
0.121212,912
0.121212,920
0.121622,928
0.122449,936
0.122867,944
0.122867,952
0.122867,960
0.123288,968
0.122867,977
0.122867,985
0.123288,993
0.123333,1001
0.123333,1009
0.123333,1017
0.123333,1025
0.123333,1033
0.123746,1041
0.123746,1049
0.123746,1057
0.123333,1066
0.123333,1074
0.123333,1082
0.123333,1090
0.123333,1098
0.123333,1106
0.123333,1114
0.123333,1122
0.123333,1130
0.123746,1138
0.123746,1146
0.123746,1154
0.123333,1163
0.123333,1171
0.123333,1179
0.123333,1187
0.123333,1195
0.123333,1203
0.123746,1211
0.123746,1219
0.123746,1227
0.123746,1235
0.123746,1243
0.123746,1251
0.123746,1259
0.123333,1268
0.123746,1276
0.123746,1284
0.123746,1292
0.123746,1300
0.123746,1308
0.123746,1316
0.123746,1324
0.123746,1332
0.123333,1341
0.123333,1349
0.123333,1357
0.123746,1365
0.123746,1373
0.123746,1381
0.123746,1389
0.123746,1397
0.123746,1405
0.123746,1413
0.123746,1421
0.123333,1430
0.123333,1438
0.123333,1446
0.123333,1454
0.123746,1462
0.123746,1470
0.123746,1478
0.123746,1486
0.123746,1494
0.123746,1502
0.123333,1511
0.123333,1519
0.123333,1527
0.123333,1535
0.123333,1543
0.123333,1551
0.123333,1559
0.123746,1567
0.123746,1575
0.123746,1583
0.123333,1592
0.123333,1600
0.123333,1608
0.123333,1616
0.123333,1624
0.123333,1632
0.123746,1640
0.123746,1648
0.123746,1656
0.123746,1664
0.123333,1673
0.123333,1681
0.123333,1689
0.123333,1697
0.123333,1705
0.123333,1713
0.123333,1721
0.123746,1729
0.123746,1737
0.123746,1745
0.123746,1753
0.123746,1761
0.123333,1770
0.123333,1778
0.123333,1786
0.123333,1794
0.123288,1803
0.123333,1811
0.123333,1819
0.123333,1827
0.123333,1835
0.123333,1843
0.123333,1851
0.123333,1859
0.123333,1867
0.123333,1875
0.123288,1884
0.123333,1892
0.123333,1900
0.123333,1908
0.123333,1916
0.123333,1924
0.123333,1932
0.123333,1940
0.123333,1948
0.123333,1956
0.123333,1964
0.123746,1972
0.123746,1980
0.123333,1989
0.123333,1997
0.123333,2005
0.123333,2013
0.123333,2021
0.123333,2029
0.123333,2037
0.123333,2045
0.123333,2053
0.123333,2061
0.123746,2069
0.123746,2077
0.123746,2085
0.123746,2093
0.124161,2101
0.124161,2109
0.124161,2117
0.124161,2125
0.124161,2133
0.124161,2141
0.124161,2149
0.12628,2152
0.127946,2156
0.130872,2157
0.130872,2165
0.133106,2168
0.13468,2172
0.137584,2173
0.138047,2181
0.14,2184
0.141892,2188
0.144781,2189
0.144781,2197
0.146667,2200
0.148649,2204
0.151515,2205
0.151515,2213
0.153333,2216
0.155405,2220
0.158249,2221
0.158249,2229
0.16,2232
0.162162,2236
0.164983,2237
0.164983,2245
0.166667,2248
0.168919,2252
0.171717,2253
0.171717,2261
0.173333,2264
0.175676,2268
0.178451,2269
0.178451,2277
0.18,2280
0.183051,2284
0.185811,2285
0.185811,2293
0.187291,2296
0.189831,2300
0.192568,2301
0.192568,2309
0.19398,2312
0.19661,2316
0.199324,2317
0.199324,2325
0.200669,2328
0.20339,2332
0.206081,2333
0.206081,2341
0.207358,2344
0.210169,2348
0.212838,2349
0.212838,2357
0.214047,2360
0.216949,2364
0.219595,2365
0.219595,2373
0.220736,2376
0.223729,2380
0.226351,2381
0.226351,2389
0.227425,2392
0.230508,2396
0.233108,2397
0.233108,2405
0.234114,2408
0.237288,2412
0.239865,2413
0.239865,2421
0.240803,2424
0.244068,2428
0.246622,2429
0.246622,2437
0.247492,2440
0.250847,2444
0.253378,2445
0.249158,2453
0.25,2456
0.250847,2460
0.253378,2461
0.249158,2469
0.25,2472
0.250847,2476
0.253378,2477
0.249158,2485
0.25,2488
0.25,2493
0.253378,2493
0.249158,2501
0.25,2504
0.25,2509
0.253378,2509
0.249158,2517
0.25,2520
0.25,2525
0.253378,2525
0.249158,2533
0.25,2536
0.25,2541
0.253378,2541
0.249158,2549
0.25,2552
0.25,2557
0.253378,2557
0.249158,2565
0.25,2568
0.25,2573
0.253378,2573
0.249158,2581
0.25,2584
0.25,2589
0.253378,2589
0.249158,2597
0.25,2600
0.25,2605
0.253378,2605
0.249158,2613
0.25,2616
0.25,2621
0.253378,2621
0.249158,2629
0.25,2632
0.25,2637
0.253378,2637
0.249158,2645
0.25,2648
0.25,2653
0.253378,2653
0.249158,2661
0.25,2664
0.25,2669
0.253378,2669
0.249158,2677
0.25,2680
0.25,2685
0.253378,2685
0.249158,2693
0.25,2696
0.25,2701
0.253378,2701
0.249158,2709
0.25,2712
0.25,2717
0.253378,2717
0.249158,2725
0.25,2728
0.25,2733
0.253378,2733
0.249158,2741
0.25,2744
0.25,2749
0.253378,2749
0.249158,2757
0.25,2760
0.25,2765
0.253378,2765
0.249158,2773
0.25,2776
0.25,2781
0.253378,2781
0.25,2789
0.250836,2792
0.25,2797
0.253378,2797
0.25,2805
0.250836,2808
0.25,2813
0.253378,2813
0.25,2821
0.250836,2824
0.25,2829
0.253378,2829
0.25,2837
0.250836,2840
0.25,2845
0.253378,2845
0.25,2853
0.250836,2856
0.25,2861
0.253378,2861
0.25,2869
0.250836,2872
0.25,2877
0.253378,2877
0.25,2885
0.250836,2888
0.25,2893
0.253378,2893
0.25,2901
0.250836,2904
0.25,2909
0.253378,2909
0.25,2917
0.250836,2920
0.25,2925
0.253378,2925
0.25,2933
0.250836,2936
