time,numworkers,streamsize
499,14,500
550,14,500
573,14,500
594,14,500
615,14,500
635,14,500
656,14,500
676,14,500
696,14,500
717,14,500
737,14,500
758,14,500
778,14,500
798,14,500
819,14,500
839,14,500
860,14,500
880,14,500
900,14,500
921,14,500
941,14,500
961,14,500
982,14,500
1002,14,500
1022,14,500
1043,14,500
1063,14,500
1083,14,500
1104,14,500
1124,14,500
1144,14,500
1165,14,500
1185,14,500
1206,14,500
1226,14,500
1246,14,500
1267,14,500
1287,14,500
1307,14,500
1328,14,500
1348,14,500
1369,14,500
1389,14,500
1409,14,500
1430,14,500
1450,14,500
1470,14,500
1491,14,500
1511,14,500
1531,14,500
1552,14,500
1572,14,500
1592,14,500
1613,14,500
1633,14,500
1653,14,500
1674,14,500
1694,14,500
1714,14,500
1735,14,500
1755,14,500
1775,14,500
1796,14,500
1816,14,500
1836,14,500
1856,14,500
1877,14,500
1897,14,500
1918,14,500
1938,14,500
1958,14,500
1978,14,500
1999,14,500
2019,14,500
2039,14,500
2060,14,500
2080,14,500
2101,14,500
2121,14,500
2141,14,500
2162,14,500
2182,14,500
2202,14,500
2223,14,500
2243,14,500
2263,14,500
2284,14,500
2304,14,500
2324,14,500
2345,14,500
2365,14,500
2385,14,500
2406,14,500
2426,14,500
2446,14,500
2467,14,500
2487,14,500
2508,14,500
2528,14,500
2548,14,500
2569,14,500
2589,14,500
2609,14,500
2629,14,500
2650,14,500
2670,14,500
2690,14,500
2711,14,500
2731,14,500
2751,14,500
2772,14,500
2792,14,500
2812,14,500
2833,14,500
2853,14,500
2874,14,500
2894,14,500
2914,14,500
2935,14,500
2955,14,500
2976,14,500
2996,14,500
3016,14,500
3037,14,500
3057,14,500
3077,14,500
3098,14,500
3118,14,500
3138,14,500
3159,14,500
3179,14,500
3199,14,500
3220,14,500
3240,14,500
3261,14,500
3281,14,500
3301,14,500
3321,14,500
3342,14,500
3362,14,500
3383,14,500
3403,14,500
3423,14,500
3444,14,500
3464,14,500
3484,14,500
3505,14,500
3525,14,500
3545,14,500
3566,14,500
3586,14,500
3606,14,500
3627,14,500
3647,14,500
3667,14,500
3688,14,500
3708,14,500
3728,14,500
3749,14,500
3769,14,500
3789,14,500
3810,14,500
3830,14,500
3851,14,500
3871,14,500
3891,14,500
3912,14,500
3932,14,500
3940,14,500
3948,14,500
3957,14,500
3965,14,500
3973,14,500
3982,14,500
3990,14,500
3998,14,500
4007,14,500
4015,14,500
4024,14,500
4032,14,500
4040,14,500
4049,14,500
4057,14,500
4065,14,500
4073,14,500
4082,14,500
4090,14,500
4098,14,500
4107,14,500
4115,14,500
4123,14,500
4132,14,500
4140,14,500
4148,14,500
4157,14,500
4165,14,500
4173,14,500
4182,14,500
4190,14,500
4198,14,500
4207,14,500
4215,14,500
4223,14,500
4232,14,500
4240,14,500
4248,14,500
4257,14,500
4265,14,500
4274,14,500
4282,14,500
4290,14,500
4299,14,500
4307,14,500
4316,14,500
4324,14,500
4332,14,500
4341,14,500
4349,14,500
4357,14,500
4366,14,500
4374,14,500
4382,14,500
4390,14,500
4399,14,500
4407,14,500
4415,14,500
4424,14,500
4432,14,500
4441,14,500
4449,14,500
4457,14,500
4466,14,500
4474,14,500
4482,14,500
4491,14,500
4499,14,500
4507,14,500
4515,14,500
4524,14,500
4532,14,500
4540,14,500
4549,14,500
4557,14,500
4566,14,500
4574,14,500
4582,14,500
4591,14,500
4599,14,500
4607,14,500
4615,14,500
4624,14,500
4632,14,500
4640,14,500
4649,14,500
4657,14,500
4665,14,500
4674,14,500
4682,14,500
4690,14,500
4699,14,500
4707,14,500
4715,14,500
4724,14,500
4732,14,500
4741,14,500
4749,14,500
4757,14,500
4766,14,500
4774,14,500
4782,14,500
4791,14,500
4799,14,500
4808,14,500
4816,14,500
4824,14,500
4833,14,500
4841,14,500
4849,14,500
4857,14,500
4866,14,500
4874,14,500
4882,14,500
4891,14,500
4899,14,500
4907,14,500
4916,14,500
4924,14,500
4932,14,500
4941,14,500
4949,14,500
4957,14,500
4966,14,500
4974,14,500
4982,14,500
4991,14,500
4999,14,500
5007,14,500
5015,14,500
5024,14,500
5032,14,500
5040,14,500
5049,14,500
5057,14,500
5066,14,500
5074,14,500
5082,14,500
5090,14,500
5099,14,500
5107,14,500
5115,14,500
5124,14,500
5132,14,500
5140,14,500
5149,14,500
5157,14,500
5165,14,500
5174,14,500
5182,14,500
5190,14,500
5199,14,500
5207,14,500
5215,14,500
5224,14,500
5232,14,500
5240,14,500
5249,14,500
5257,14,500
5265,14,500
5273,14,500
5282,14,500
5290,14,500
5298,14,500
5307,14,500
5315,14,500
5324,14,500
5388,14,500
5452,14,500
5517,14,500
5581,14,500
5646,14,500
5710,14,500
5774,14,500
5839,14,500
5903,14,500
5967,14,500
6032,14,500
6096,14,500
6160,14,500
6225,14,500
6289,14,500
6354,14,500
6418,14,500
6482,14,500
6547,14,500
6611,14,500
6675,14,500
6740,14,500
6804,14,500
6869,14,500
6933,14,500
6997,14,500
7061,14,500
7126,14,500
7190,14,500
7255,14,500
7319,14,500
7383,14,500
7448,14,500
7512,14,500
7576,14,500
7640,14,500
7705,14,500
7769,14,500
7833,14,500
7845,14,500
7910,14,500
7974,14,500
8038,14,500
8102,14,500
8167,14,500
8231,14,500
8295,14,500
8360,14,500
8424,14,500
8488,14,500
8553,14,500
8617,14,500
8681,14,500
8745,14,500
8810,14,500
8874,14,500
8938,14,500
9003,14,500
9067,14,500
9131,14,500
9196,14,500
9260,14,500
9324,14,500
9389,14,500
9453,14,500
9518,14,500
9582,14,500
9646,14,500
9711,14,500
9775,14,500
9840,14,500
9904,14,500
9968,14,500
10033,14,500
10097,14,500
10162,14,500
10226,14,500
10290,14,500
10355,14,500
10419,14,500
10483,14,500
10548,14,500
10612,14,500
10676,14,500
10741,14,500
10805,14,500
10869,14,500
10934,14,500
10998,14,500
11062,14,500
11127,14,500
11191,14,500
11255,14,500
11320,14,500
11384,14,500
11448,14,500
11513,14,500
11577,14,500
11641,14,500
11706,14,500
11770,14,500
11835,14,500
11899,14,500
11963,14,500
12028,14,500
12092,14,500
12156,14,500
12221,14,500
12285,14,500
12349,14,500
12414,14,500
12478,14,500
12543,14,500
12607,14,500
12672,14,500
12736,14,500
12800,14,500
12865,14,500
12929,14,500
12993,14,500
13057,14,500
13122,14,500
