throughput,time,numworkers,streamsize
0.05,9241,4,500
0.06,9241,4,500
0.06,9260,4,500
0.07,9276,4,500
0.06,9292,4,500
0.06,9309,4,500
0.04,9343,4,500
0.05,9344,4,500
0.06,9360,4,500
0.06,9376,4,500
0.05,9395,4,500
0.05,9411,4,500
0.04,9446,4,500
0.05,9446,4,500
0.04,9495,4,500
0.05,9495,4,500
0.06,9495,4,500
0.06,9511,4,500
0.06,9528,4,500
0.07,9544,4,500
0.06,9560,4,500
0.07,9577,4,500
0.08,9593,4,500
0.06,9609,4,500
0.06,9626,4,500
0.06,9644,4,500
0.06,9661,4,500
0.04,9698,4,500
0.05,9698,4,500
0.04,9733,4,500
0.05,9733,4,500
0.05,9749,4,500
0.05,9765,4,500
0.06,9784,4,500
0.05,9800,4,500
0.06,9819,4,500
0.05,9835,4,500
0.05,9852,4,500
0.05,9870,4,500
0.05,9888,4,500
0.05,9904,4,500
0.05,9920,4,500
0.05,9939,4,500
0.05,9955,4,500
0.05,9972,4,500
0.06,9988,4,500
0.06,10004,4,500
0.05,10023,4,500
0.05,10056,4,500
0.06,10056,4,500
0.06,10072,4,500
0.06,10088,4,500
0.06,10105,4,500
0.06,10123,4,500
0.06,10140,4,500
0.04,10189,4,500
0.05,10189,4,500
0.06,10189,4,500
0.06,10205,4,500
0.06,10221,4,500
0.05,10254,4,500
0.06,10254,4,500
0.07,10270,4,500
0.04,10319,4,500
0.05,10319,4,500
0.06,10319,4,500
0.06,10352,4,500
0.07,10352,4,500
0.05,10384,4,500
0.06,10384,4,500
0.07,10400,4,500
0.08,10417,4,500
0.06,10433,4,500
0.07,10452,4,500
0.06,10468,4,500
0.07,10484,4,500
0.06,10501,4,500
0.05,10519,4,500
0.05,10536,4,500
0.04,10570,4,500
0.05,10571,4,500
0.05,10587,4,500
0.05,10603,4,500
0.06,10620,4,500
0.06,10636,4,500
0.06,10653,4,500
0.05,10685,4,500
0.06,10686,4,500
0.06,10702,4,500
0.05,10735,4,500
0.06,10735,4,500
0.06,10751,4,500
0.06,10768,4,500
0.07,10786,4,500
0.06,10803,4,500
0.06,10822,4,500
0.05,10839,4,500
0.05,10855,4,500
0.04,10888,4,500
0.05,10888,4,500
0.05,10904,4,500
0.06,10921,4,500
0.06,10937,4,500
0.05,10970,4,500
0.06,10970,4,500
0.07,10986,4,500
0.05,11019,4,500
0.06,11019,4,500
0.06,11035,4,500
0.06,11068,4,500
0.07,11068,4,500
0.05,11101,4,500
0.06,11101,4,500
0.07,11117,4,500
0.05,11166,4,500
0.06,11166,4,500
0.07,11166,4,500
0.04,11215,4,500
0.05,11215,4,500
0.06,11215,4,500
0.06,11232,4,500
0.07,11248,4,500
0.08,11265,4,500
0.06,11297,4,500
0.07,11297,4,500
0.08,11314,4,500
0.06,11330,4,500
0.06,11349,4,500
0.06,11365,4,500
0.06,11381,4,500
0.05,11400,4,500
0.05,11417,4,500
0.05,11433,4,500
0.06,11449,4,500
0.05,11468,4,500
0.05,11484,4,500
0.06,11500,4,500
0.06,11517,4,500
0.06,11533,4,500
0.05,11551,4,500
0.06,11568,4,500
0.06,11584,4,500
0.06,11601,4,500
0.06,11617,4,500
0.06,11633,4,500
0.06,11650,4,500
0.06,11666,4,500
0.05,11698,4,500
0.06,11698,4,500
0.06,11715,4,500
0.06,11731,4,500
0.05,11766,4,500
0.06,11766,4,500
0.06,11783,4,500
0.07,11799,4,500
0.06,11815,4,500
0.05,11834,4,500
0.04,11883,4,500
0.05,11883,4,500
0.06,11883,4,500
0.04,11932,4,500
0.05,11932,4,500
0.06,11932,4,500
0.06,11951,4,500
0.07,11983,4,500
0.08,11983,4,500
0.06,12000,4,500
0.07,12032,4,500
0.08,12032,4,500
0.05,12065,4,500
0.06,12065,4,500
0.05,12098,4,500
0.06,12098,4,500
0.04,12147,4,500
0.05,12147,4,500
0.06,12147,4,500
0.07,12163,4,500
0.06,12180,4,500
0.07,12198,4,500
0.06,12214,4,500
0.07,12231,4,500
0.03,12298,4,500
0.04,12298,4,500
0.05,12298,4,500
0.06,12298,4,500
0.04,12347,4,500
0.05,12347,4,500
0.06,12347,4,500
0.07,12363,4,500
0.08,12396,4,500
0.09,12396,4,500
0.06,12413,4,500
0.07,12429,4,500
0.08,12445,4,500
0.06,12464,4,500
0.06,12481,4,500
0.07,12497,4,500
0.04,12530,4,500
0.05,12530,4,500
0.05,12563,4,500
0.06,12563,4,500
0.06,12579,4,500
0.06,12596,4,500
0.06,12612,4,500
0.07,12629,4,500
0.06,12645,4,500
0.07,12661,4,500
0.04,12700,4,500
0.05,12700,4,500
