num_workers,time
4,0
1,192
2,3385
4,3578
3,10970
2,14491
1,17964
3,21398
4,21590
2,25238
1,25430
2,25766
3,25958
2,26262
3,28695
4,28887
1,32440
2,35529
4,35721
3,36129
