servicetime,time,numworkers,streamsize
9.22083,28,16,500
8.17917,33,16,500
7.59583,38,16,500
7.22083,43,16,500
6.90972,49,16,500
6.67639,54,16,500
6.49457,59,16,500
6.34874,64,16,500
6.22908,69,16,500
6.12908,74,16,500
6.04423,79,16,500
5.97131,84,16,500
5.90797,89,16,500
5.8663,94,16,500
5.83033,99,16,500
5.79908,104,16,500
5.77177,109,16,500
5.73389,115,16,500
5.69957,120,16,500
5.66832,125,16,500
5.63975,130,16,500
5.61352,135,16,500
5.58937,140,16,500
5.56705,145,16,500
5.55498,150,16,500
5.53575,155,16,500
5.52589,160,16,500
5.51696,165,16,500
5.50024,171,16,500
5.49289,175,16,500
5.47814,181,16,500
5.46426,186,16,500
5.45115,191,16,500
5.43877,196,16,500
5.42705,201,16,500
5.41594,206,16,500
5.40539,211,16,500
5.40132,216,16,500
5.39759,221,16,500
5.39418,226,16,500
5.39106,231,16,500
5.38226,237,16,500
5.37385,242,16,500
5.3658,247,16,500
5.35809,252,16,500
5.3507,257,16,500
5.34361,262,16,500
5.3368,267,16,500
5.33025,272,16,500
5.32859,277,16,500
5.32707,282,16,500
5.3257,287,16,500
5.32446,292,16,500
5.24112,298,16,500
5.1593,303,16,500
5.07895,308,16,500
5,313,16,500
5,318,16,500
5,323,16,500
5,328,16,500
5,333,16,500
5,338,16,500
5,343,16,500
5.02273,348,16,500
5.04356,353,16,500
5.06279,359,16,500
5.08065,364,16,500
5.07459,369,16,500
5.06938,374,16,500
5.06485,379,16,500
5.06089,384,16,500
5.05738,389,16,500
5.05425,394,16,500
5.05145,399,16,500
5.04893,404,16,500
5.05751,409,16,500
5.06584,414,16,500
5.07394,420,16,500
5.0818,425,16,500
5.07858,430,16,500
5.07561,435,16,500
5.07285,440,16,500
5.07028,445,16,500
5.06789,450,16,500
5.06566,455,16,500
5.06357,460,16,500
5.06161,465,16,500
5.05977,470,16,500
5.05803,476,16,500
5.06315,481,16,500
5.06818,486,16,500
5.07313,491,16,500
5.07799,496,16,500
5.07601,501,16,500
5.07413,506,16,500
5.07234,511,16,500
5.11609,520,16,500
5.15891,525,16,500
5.20084,530,16,500
5.24722,535,16,500
5.24722,545,16,500
5.24734,550,16,500
5.24755,555,16,500
5.24255,560,16,500
5.23774,565,16,500
5.23312,570,16,500
5.22868,575,16,500
5.2244,580,16,500
5.22028,585,16,500
5.2163,590,16,500
5.21247,595,16,500
5.15793,601,16,500
5.10436,606,16,500
5.05172,611,16,500
5,616,16,500
5,621,16,500
5,626,16,500
5,631,16,500
5,636,16,500
5,641,16,500
5,646,16,500
5,651,16,500
5,656,16,500
5,661,16,500
5.01786,666,16,500
5.03452,672,16,500
5.05015,677,16,500
5.06485,682,16,500
5.06089,687,16,500
5.05738,692,16,500
5.05425,697,16,500
5.05145,702,16,500
5.04893,707,16,500
5.04664,712,16,500
5.04455,717,16,500
5.04265,722,16,500
5.0409,727,16,500
5.03929,732,16,500
5.04673,737,16,500
5.05397,742,16,500
5.06102,748,16,500
5.06789,753,16,500
5.06566,758,16,500
5.06357,763,16,500
5.06161,768,16,500
5.05977,773,16,500
5.05803,778,16,500
5.05639,783,16,500
5.05485,788,16,500
5.05338,793,16,500
5.05199,798,16,500
5.05677,803,16,500
5.06147,809,16,500
5.06609,814,16,500
5.07064,819,16,500
5.06901,824,16,500
5.06746,829,16,500
5.06597,834,16,500
5.06455,839,16,500
5.06319,844,16,500
5.06189,849,16,500
5.06064,854,16,500
5.06424,859,16,500
5.0678,865,16,500
5.07132,870,16,500
5.0748,875,16,500
5.07343,880,16,500
5.0721,885,16,500
5.07082,890,16,500
5.06959,895,16,500
5.0684,900,16,500
5.05086,905,16,500
5.03362,910,16,500
5.01667,915,16,500
5,920,16,500
5,925,16,500
5,931,16,500
5,936,16,500
5,941,16,500
5,946,16,500
5,951,16,500
5,956,16,500
5,961,16,500
5,966,16,500
5.01786,971,16,500
5.03452,976,16,500
5.05015,981,16,500
5.06485,986,16,500
5.06089,991,16,500
5.05738,996,16,500
5.05425,1002,16,500
5.05145,1007,16,500
5.04893,1012,16,500
5.01403,1015,16,500
4.95986,1019,16,500
4.87796,1022,16,500
4.78006,1027,16,500
4.69068,1028,16,500
4.60735,1032,16,500
4.5308,1033,16,500
4.47567,1038,16,500
4.44968,1041,16,500
4.44187,1045,16,500
4.45964,1049,16,500
4.4763,1054,16,500
4.49197,1059,16,500
4.51367,1064,16,500
4.53435,1069,16,500
4.55409,1074,16,500
4.57295,1079,16,500
4.58406,1084,16,500
4.59461,1090,16,500
4.60464,1095,16,500
4.61418,1100,16,500
4.62327,1105,16,500
4.63194,1110,16,500
4.64022,1115,16,500
4.65346,1120,16,500
4.66624,1125,16,500
4.6786,1130,16,500
4.69056,1135,16,500
4.69681,1140,16,500
4.70282,1146,16,500
4.7086,1151,16,500
4.71416,1156,16,500
4.7195,1161,16,500
4.72465,1166,16,500
4.73401,1171,16,500
4.74311,1176,16,500
4.75197,1181,16,500
4.7606,1186,16,500
4.76462,1191,16,500
4.76852,1196,16,500
4.77228,1202,16,500
4.83062,1207,16,500
4.88799,1212,16,500
4.94444,1217,16,500
5,1222,16,500
5,1227,16,500
5,1232,16,500
5,1237,16,500
5.03125,1242,16,500
5.05903,1248,16,500
5.08403,1253,16,500
5.10676,1258,16,500
5.09634,1263,16,500
5.08779,1268,16,500
5.08065,1273,16,500
5.07459,1278,16,500
5.06938,1283,16,500
5.06485,1288,16,500
5.06089,1294,16,500
5.05738,1299,16,500
5.06675,1304,16,500
5.07586,1309,16,500
5.08469,1314,16,500
5.09328,1319,16,500
5.08911,1324,16,500
5.0853,1329,16,500
5.0818,1334,16,500
5.07858,1339,16,500
5.08454,1345,16,500
5.0904,1350,16,500
5.09617,1355,16,500
5.10184,1360,16,500
5.09849,1365,16,500
5.09536,1370,16,500
5.09242,1375,16,500
5.08965,1380,16,500
5.08705,1385,16,500
5.08459,1390,16,500
5.08885,1395,16,500
5.09306,1401,16,500
5.09723,1406,16,500
5.10135,1411,16,500
5.09884,1416,16,500
5.09646,1421,16,500
5.09418,1426,16,500
5.09201,1431,16,500
5.08994,1436,16,500
5.09328,1442,16,500
5.0966,1447,16,500
5.09989,1452,16,500
5.10315,1457,16,500
5.10106,1462,16,500
5.09906,1467,16,500
5.09713,1472,16,500
5.09528,1477,16,500
5.0935,1482,16,500
5.09178,1487,16,500
5.09451,1493,16,500
5.09723,1498,16,500
5.09992,1503,16,500
5.0776,1508,16,500
5.05129,1513,16,500
5.02542,1518,16,500
5.1875,1525,16,500
5.3375,1530,16,500
5.4625,1535,16,500
5.56964,1540,16,500
5.47589,1547,16,500
5.437,1552,16,500
5.412,1557,16,500
5.39577,1562,16,500
5.38535,1567,16,500
