throughput,time
0.125,24
0.125,32
0.125,40
0.125,48
0.125,56
0.125,64
0.125,72
0.123077,81
0.123288,89
0.123457,97
0.123596,105
0.123711,113
0.12381,121
0.123894,129
0.123967,137
0.124031,145
0.124088,153
0.124138,161
0.124183,169
0.124224,177
0.12426,185
0.124294,193
0.124324,201
0.124352,209
0.123762,218
0.12381,226
0.123853,234
0.123894,242
0.123932,250
0.123967,258
0.124,266
0.124031,274
0.12406,282
0.124088,290
0.124113,298
0.124138,306
0.124161,314
0.124161,322
0.124161,330
0.124161,338
0.124161,346
0.123746,355
0.123746,363
0.123746,371
0.124161,379
0.124161,387
0.124161,395
0.124161,403
0.124161,411
0.124161,419
0.124161,427
0.124161,435
0.124161,443
0.124161,451
0.124161,459
0.124161,467
0.124161,475
0.124161,483
0.123746,492
0.123746,500
0.123746,508
0.124161,516
0.124161,524
0.124161,532
0.124161,540
0.124161,548
0.124161,556
0.124161,564
0.124161,572
0.124161,580
0.124161,588
0.124161,596
0.124161,604
0.124161,612
0.124161,620
0.123746,629
0.123746,637
0.123746,645
0.124161,653
0.124161,661
0.124161,669
0.124161,677
0.124161,685
0.124161,693
0.124161,701
0.124161,709
0.124161,717
0.124161,725
0.124161,733
0.124161,741
0.124161,749
0.123746,758
0.123746,766
0.123746,774
0.123746,782
0.124161,790
0.124161,798
0.124161,806
0.124161,814
0.124161,822
0.124161,830
0.124161,838
0.124161,846
0.124161,854
0.124161,862
0.124161,870
0.124161,878
0.124161,886
0.123746,895
0.123746,903
0.123746,911
0.123746,919
0.124161,927
0.124161,935
0.124161,943
0.124161,951
0.124161,959
0.124161,967
0.124161,975
0.124161,983
0.124161,991
0.124161,999
0.124161,1007
0.124161,1015
0.124161,1023
0.124161,1031
0.123746,1040
0.123746,1048
0.124161,1056
0.124161,1064
0.124161,1072
0.124161,1080
0.124161,1088
0.124161,1096
0.124161,1104
0.124161,1112
0.124161,1120
0.124161,1128
0.124161,1136
0.124161,1144
0.124161,1152
0.124161,1160
0.124161,1168
0.124161,1176
0.123746,1185
0.124161,1193
0.123746,1202
0.123746,1210
0.123746,1218
0.123746,1226
0.123746,1234
0.123746,1242
0.123746,1250
0.123746,1258
0.123333,1267
0.123333,1275
0.123333,1283
0.123333,1291
0.123333,1299
0.123333,1307
0.123333,1315
0.123333,1323
0.123333,1331
0.123746,1339
0.123746,1347
0.123746,1355
0.123746,1363
0.123746,1371
0.123746,1379
0.123746,1387
0.123746,1395
0.123333,1404
0.123333,1412
0.123333,1420
0.123333,1428
0.123333,1436
0.123333,1444
0.123333,1452
0.123333,1460
0.123333,1468
0.123333,1476
0.123746,1484
0.123746,1492
0.124161,1500
0.124161,1508
0.124161,1516
0.124161,1524
0.121622,1538
0.121622,1546
0.121622,1554
0.121622,1563
0.121622,1571
0.121622,1579
0.121622,1587
0.121212,1596
0.121212,1604
0.119454,1616
0.119454,1624
0.118243,1635
0.118243,1643
0.118243,1651
0.118243,1659
0.118243,1667
0.117845,1676
0.117845,1684
0.117845,1692
0.118243,1700
0.118243,1708
0.118243,1716
0.118243,1724
0.117845,1733
0.118243,1740
0.118243,1748
0.118243,1756
0.118243,1764
0.118243,1772
0.117845,1781
0.117845,1789
0.11745,1798
0.117845,1805
0.117845,1813
0.117845,1821
0.119863,1830
0.120401,1837
0.120401,1845
0.120401,1853
0.120805,1861
0.120805,1869
0.120805,1877
0.120401,1886
0.120805,1894
0.120805,1902
0.122449,1910
0.122449,1918
0.123288,1927
0.123746,1934
0.123746,1942
0.123746,1950
0.123746,1958
0.123746,1966
0.124161,1974
0.124161,1982
0.124161,1990
0.122867,2001
0.123746,2007
0.123746,2015
0.123746,2023
0.124161,2031
0.123746,2039
0.123333,2048
0.123746,2055
0.125424,2059
0.12709,2063
0.127946,2069
0.13,2072
0.130435,2080
0.133333,2081
0.135135,2085
0.136667,2089
0.137584,2096
0.140468,2097
0.141892,2101
0.143333,2105
0.143813,2112
0.146667,2113
0.148649,2117
0.15,2121
0.150502,2129
0.153333,2130
0.155405,2133
0.156997,2138
0.156667,2145
0.16041,2146
0.161616,2150
0.163823,2154
0.163333,2161
0.166102,2164
0.167224,2168
0.168919,2173
0.171233,2178
0.172297,2182
0.173333,2186
0.175676,2190
0.177474,2195
0.178451,2199
0.180272,2204
0.181208,2208
0.183673,2212
0.184564,2216
0.187075,2221
0.187919,2225
0.189831,2229
0.191126,2235
0.191919,2239
0.194539,2243
0.195286,2247
