servicetime,time
8,64
8,72
8,80
8,88
8,96
8.01818,105
8.03485,113
8.05023,121
8.06452,129
8.07785,137
8.07217,145
8.06727,153
8.06299,161
8.05924,169
8.0559,177
8.05293,185
8.05025,193
8.04784,201
8.04564,209
8.04364,217
8.04181,225
8.04013,233
8.04572,242
8.05118,250
8.05651,258
8.06172,266
8.06682,274
8.06465,282
8.06262,290
8.06072,298
8.05893,306
8.05724,314
8.05593,322
8.05497,330
8.05435,338
8.05405,346
8.05405,354
8.05405,362
8.05405,370
8.05946,379
8.06486,387
8.07027,395
8.07027,403
8.07027,411
8.06486,419
8.05946,427
8.05405,435
8.05405,443
8.05405,451
8.05405,459
8.05405,467
8.05405,475
8.05405,483
8.05405,491
8.05405,499
8.05946,508
8.06486,516
8.07027,524
8.07568,532
8.07568,540
8.07027,548
8.06486,556
8.05946,564
8.05405,572
8.05405,580
8.05405,588
8.05405,596
8.05405,604
8.05405,612
8.05405,620
8.05405,628
8.05405,636
8.05946,645
8.06486,653
8.07027,661
8.07568,669
8.07568,677
8.07027,685
8.06486,693
8.05946,701
8.05405,709
8.05405,717
8.05405,725
8.05405,733
8.05405,741
8.05405,749
8.05405,757
8.05405,765
8.05405,773
8.05946,782
8.06486,790
8.07027,798
8.07027,806
8.07027,814
8.06486,822
8.05946,830
8.05405,838
8.05405,846
8.05405,854
8.05405,862
8.05405,870
8.05405,878
8.05405,886
8.05405,894
8.05405,902
8.05405,910
8.05946,919
8.06486,927
8.07027,935
8.07027,943
8.07027,951
8.06486,959
8.05946,967
8.05405,975
8.05405,983
8.05405,991
8.05405,999
8.05405,1007
8.05405,1015
8.05405,1023
8.05405,1031
8.05405,1039
8.05405,1047
8.05946,1056
8.06486,1064
8.07027,1072
8.07027,1080
8.07027,1088
8.06486,1096
8.05946,1104
8.05405,1112
8.05405,1120
8.05405,1128
8.05405,1136
8.05405,1144
8.05405,1152
8.05405,1160
8.05405,1168
8.05405,1176
8.05946,1185
8.06486,1193
8.07027,1201
8.07568,1209
8.07568,1217
8.07027,1225
8.06486,1233
8.05946,1241
8.05405,1249
8.05405,1257
8.05405,1265
8.05405,1273
8.05405,1281
8.05405,1289
8.05405,1297
8.05405,1305
8.05405,1313
8.05946,1322
8.06486,1330
8.07027,1338
8.07568,1346
8.07568,1354
8.07027,1362
8.06486,1370
8.01707,1370
7.94822,1374
7.86562,1378
7.78301,1386
7.6622,1386
7.56378,1390
7.47007,1394
7.39552,1402
7.28636,1402
7.19636,1406
7.11706,1411
7.04945,1418
6.95488,1419
6.87674,1423
6.80563,1427
6.73938,1434
6.65333,1435
6.57685,1439
6.50828,1443
6.44748,1450
6.36887,1451
6.29803,1455
6.23583,1459
6.17982,1466
6.10773,1467
6.0419,1471
5.98528,1475
5.92958,1482
5.86325,1484
5.80187,1488
5.75017,1492
5.69838,1498
5.64108,1500
5.58367,1504
5.53633,1508
5.48803,1514
5.43513,1516
5.38129,1520
5.33782,1524
5.29266,1530
5.24369,1532
5.19308,1536
5.15306,1540
5.11072,1546
5.06861,1549
5.02425,1553
4.99061,1557
4.95082,1562
4.91179,1565
4.86662,1569
4.83234,1573
4.79159,1578
4.75532,1581
4.71258,1585
4.68082,1589
4.64228,1594
4.60851,1597
4.56798,1601
4.53851,1605
4.502,1610
4.4705,1613
4.432,1618
4.4046,1622
4.36704,1626
4.33762,1630
4.30098,1634
4.27546,1638
4.2397,1642
4.21506,1646
4.18014,1650
4.15635,1654
4.12224,1658
4.09924,1662
4.06591,1666
4.04369,1670
4.03258,1674
4.03243,1678
4.02162,1682
4.03532,1687
4.04902,1691
4.04095,1695
4.06394,1707
4.09727,1711
4.10857,1715
4.12821,1719
4.17404,1731
4.19738,1735
4.22119,1739
4.25333,1743
4.30235,1755
4.33613,1759
4.35252,1763
4.37773,1767
4.42059,1779
4.4443,1783
4.468,1787
4.50053,1791
4.55256,1803
4.58693,1807
4.609,1811
4.63731,1815
4.68931,1827
4.71946,1831
4.7496,1835
4.78599,1839
4.84495,1851
4.88022,1855
4.9057,1859
4.93452,1863
4.99414,1875
5.02839,1879
5.06264,1883
5.10023,1887
5.17118,1899
5.21133,1903
5.24446,1907
5.28116,1911
5.35357,1923
