servicetime,time
2.29,21
2.21857,23
2.1769,25
2.14913,27
2.12913,29
2.11398,31
2.11874,34
2.12451,36
2.13086,38
2.13752,40
2.14434,42
2.13454,44
2.12599,46
2.11847,48
2.1118,50
2.10585,52
2.1005,54
2.10437,57
2.10832,59
2.11232,61
2.11635,63
2.12039,65
2.11573,67
2.11142,69
2.10742,71
2.1037,73
2.10647,76
2.10929,78
2.11213,80
2.11498,82
2.11785,84
2.11447,86
2.11128,88
2.10827,90
2.10541,92
2.1027,94
2.10489,97
2.10709,99
2.1093,101
2.11153,103
2.11375,105
2.11122,107
2.1088,109
2.10648,111
2.10426,113
2.10213,115
2.10008,117
2.09811,119
2.09623,121
2.09441,123
2.09266,125
2.09448,128
2.0963,130
2.09812,132
2.09994,134
2.10175,136
2.10006,138
2.09841,140
2.09682,142
2.09529,144
2.0938,146
2.09235,148
2.09095,150
2.08959,152
2.08827,154
2.08699,156
2.08853,159
2.09006,161
2.09159,163
2.09311,165
2.09463,167
2.09337,169
2.09214,171
2.09094,173
2.08977,175
2.08864,177
2.08753,179
2.08645,181
2.08539,183
2.08436,185
2.08336,187
2.08467,190
2.08599,192
2.0873,194
2.08861,196
2.08991,198
2.08891,200
2.10084,208
2.12541,216
2.16237,224
2.21146,232
2.27241,240
2.3321,248
2.39056,256
2.44782,264
2.50393,272
2.55891,280
2.61281,288
2.66564,296
2.71745,304
2.76968,312
2.82842,320
2.89494,328
2.96609,336
3.04744,344
3.13911,352
3.23439,360
3.33609,368
3.4428,376
3.55713,384
3.67994,392
3.81176,400
3.95414,408
4.11497,416
4.28985,424
4.46812,432
4.66589,440
4.88303,448
5.12257,456
5.3842,464
5.68879,472
6.03094,480
6.41317,488
6.81955,496
7.22355,504
7.55121,512
7.79212,520
7.93846,528
8,536
8,544
8,552
8,560
8,568
8,576
8,584
8,592
8,600
8,608
8,616
8,624
8,632
8,640
8,648
8,656
8,664
8,672
8,680
8,688
8,696
8,704
8,712
8,720
8,728
8,736
8,744
8,752
8,760
8,768
8,776
8,784
8,792
8,800
8,808
8,816
8,824
8,832
8,840
8,848
8,856
8,864
8,872
8,880
8,888
8,896
8,904
8,912
8,920
8,928
8,936
8,944
8,952
8,960
8,968
8,976
8,984
8,992
8,1000
8,1008
8,1016
8,1024
8,1032
8,1040
8,1048
8,1056
8,1064
8,1072
8,1080
8,1088
8,1096
8,1104
8,1112
8,1120
8,1128
8,1136
8,1144
8,1152
8,1160
8,1168
8,1176
8,1184
8,1192
8,1200
8,1208
8,1216
8,1224
8,1232
8,1240
8,1248
8,1256
8,1264
8,1272
8,1280
8,1288
8,1296
8,1304
8,1312
8,1320
8,1328
8,1336
8,1344
8,1352
8,1360
8,1368
8,1376
8,1384
8.00541,1393
8.01081,1401
8.01622,1409
8.02162,1417
8.02703,1425
8.02703,1433
8.02703,1441
8.02703,1449
8.02703,1457
8.02703,1465
8.02703,1473
8.02703,1481
8.02703,1489
8.02703,1497
8.02703,1505
8.02703,1513
8.02703,1521
8.02703,1529
8.02703,1537
8.02703,1545
8.02703,1553
8.02703,1561
8.02703,1569
8.02703,1577
8.02703,1585
8.02703,1593
8.02703,1601
8.02703,1609
8.02703,1617
8.02703,1625
8.02703,1633
8.02703,1641
8.02703,1649
8.02703,1657
8.02703,1665
8.02703,1673
8.02703,1681
8.02162,1689
8.01622,1697
8.01081,1705
8.00541,1713
8,1721
8,1729
8,1737
8,1745
8,1753
8,1761
8,1769
8,1777
8,1785
8,1793
8,1801
8,1809
8,1817
8,1825
8,1833
8,1841
8,1849
8,1857
8,1865
8,1873
8,1881
8,1889
8,1897
8,1905
8,1913
8,1921
8,1929
8,1937
8,1945
8,1953
8,1961
8,1969
8,1977
8,1985
8,1993
8,2001
8,2009
8,2017
8,2025
8,2033
8,2041
8,2049
8,2057
8,2065
8,2073
8,2081
8,2089
8,2097
8,2105
8,2113
8,2121
8,2129
8,2137
8,2145
8,2153
8,2161
8,2169
8,2177
8,2185
8,2193
8,2201
8,2209
8,2217
8,2225
8,2233
8,2241
8,2249
8,2257
8,2265
8,2273
8,2281
8,2289
8,2297
8,2305
8,2313
8,2321
8,2329
8,2337
8,2345
8,2353
8,2361
8,2369
8,2377
8,2385
8,2393
8,2401
8,2409
8,2417
8,2425
8,2433
8,2441
8,2449
8,2457
8,2465
8,2473
8,2481
8,2489
8,2497
8,2505
8,2513
8,2521
8,2529
8,2537
8,2545
8,2553
8,2561
8,2569
8,2577
8,2585
8,2593
8,2601
8,2609
8,2617
8,2625
8,2633
8,2641
8,2649
8,2657
8,2665
8,2673
8,2681
8,2689
8,2697
8,2705
8,2713
8,2721
8,2729
8,2737
8,2745
8,2753
8,2761
8,2769
8,2777
8,2785
8,2793
8,2801
8,2809
8,2817
8,2825
8,2833
8,2841
8,2849
8,2857
8,2865
8,2873
8,2881
8,2889
8,2897
8,2905
8,2913
8,2921
8,2929
8,2937
8,2945
8,2953
8,2961
8,2969
8,2977
8,2985
8,2993
8,3001
8,3009
8,3017
8,3025
8,3033
8,3041
8,3049
8,3057
8,3065
8,3073
8,3081
8,3089
8,3097
8.14118,3129
8.45085,3161
8.96514,3193
9.73314,3225
10.824,3257
12.1987,3289
13.989,3321
16.4285,3353
19.9805,3385
23.7119,3418
26.3761,3418
28.4561,3450
29.1568,3450
28.4913,3482
26.8858,3482
25.9224,3514
24.5886,3514
23.7802,3546
22.6542,3546
21.9661,3578
21.0028,3578
20.41,3610
19.5763,3610
18.8477,3610
17.9303,3610
17.2881,3642
16.4768,3642
15.7543,3642
15.1067,3642
14.648,3674
14.0641,3674
13.5351,3674
13.0534,3674
12.701,3706
12.2526,3706
11.8408,3706
11.4611,3706
11.2681,3738
11.0014,3738
10.7546,3738
10.5254,3738
10.4492,3770
10.22,3770
10.0067,3770
9.80762,3770
9.74141,3802
9.54234,3802
9.35613,3802
9.18158,3802
9.12352,3834
8.94897,3834
8.78503,3834
8.63074,3834
8.5794,3866
8.42512,3866
8.27966,3866
8.1423,3866
8.09659,3898
7.95923,3898
7.8293,3898
7.70623,3898
7.74947,3930
7.70623,3930
7.66526,3930
7.62639,3930
7.74947,3962
7.70623,3962
7.66526,3962
7.62639,3962
7.74947,3994
7.70623,3994
7.66526,3994
7.62639,3994
7.74947,4026
7.70623,4026
7.66526,4026
7.62639,4026
7.74947,4058
7.70623,4058
7.66526,4058
7.62639,4058
7.74947,4090
7.70623,4090
7.66526,4090
7.62639,4090
7.74947,4122
7.70623,4122
7.66526,4122
7.62639,4122
7.74947,4154
7.70623,4154
7.66526,4154
7.62639,4154
7.74947,4186
7.70623,4186
7.66526,4186
7.62639,4186
7.74947,4218
7.70623,4218
7.66526,4218
7.62639,4218
7.74947,4250
7.70623,4250
7.66526,4250
7.62639,4250
7.74947,4282
7.70623,4282
7.66526,4282
7.62639,4282
7.74947,4314
7.70623,4314
7.66526,4314
7.62639,4314
7.74947,4346
7.70623,4346
7.66526,4346
7.62639,4346
7.74947,4378
7.70623,4378
7.66526,4378
7.62639,4378
7.74947,4410
7.70623,4410
7.66526,4410
7.62639,4410
7.74947,4442
7.70623,4442
7.66526,4442
7.62639,4442
7.74947,4474
7.70623,4474
7.66526,4474
7.62639,4474
7.74947,4506
7.70623,4506
7.66526,4506
7.62639,4506
7.74947,4538
7.70623,4538
7.66526,4538
7.62639,4538
7.74947,4570
7.70623,4570
7.66526,4570
7.62639,4570
7.74947,4602
7.70623,4602
7.66526,4602
7.62639,4602
7.74947,4634
7.70623,4634
7.66526,4634
7.62639,4634
7.74947,4666
7.70623,4666
7.66526,4666
7.62639,4666
7.74947,4698
7.70623,4698
7.66526,4698
7.62639,4698
7.74947,4730
7.70623,4730
7.66526,4730
7.62639,4730
7.74947,4762
7.70623,4762
7.66526,4762
7.62639,4762
7.74947,4794
7.70623,4794
7.66526,4794
7.62639,4794
7.74947,4826
7.70623,4826
7.66526,4826
7.62639,4826
7.74947,4858
7.70623,4858
7.66526,4858
7.62639,4858
7.74947,4890
7.70623,4890
7.66526,4890
7.62639,4890
7.74947,4922
7.70623,4922
7.66526,4922
7.62639,4922
7.74947,4954
7.70623,4954
7.66526,4954
7.62639,4954
7.74947,4986
7.70623,4986
7.66526,4986
7.62639,4986
7.74947,5018
7.70623,5018
7.66526,5018
7.62639,5018
7.74947,5050
7.70623,5050
7.66526,5050
7.62639,5050
7.74947,5082
7.70623,5082
7.66526,5082
7.62639,5082
7.74947,5114
7.70623,5114
7.66526,5114
7.62639,5114
7.74947,5146
7.70623,5146
7.66526,5146
7.62639,5146
7.74947,5178
7.70623,5178
7.66526,5178
7.62639,5178
7.74947,5210
7.70623,5210
7.66526,5210
7.62639,5210
7.74947,5242
7.70623,5242
7.66526,5242
7.62639,5242
7.74947,5274
7.70623,5274
7.66526,5274
7.62639,5274
7.74947,5306
7.70623,5306
7.66526,5306
7.62639,5306
7.74947,5338
7.70623,5338
7.66526,5338
7.62639,5338
7.74947,5370
7.70623,5370
7.66526,5370
7.62639,5370
7.74947,5402
7.70623,5402
7.66526,5402
7.62639,5402
7.74947,5434
7.70623,5434
7.66526,5434
7.62639,5434
7.74947,5466
7.70623,5466
7.66526,5466
7.62639,5466
7.74947,5498
7.70623,5498
7.66526,5498
7.62639,5498
7.74947,5530
7.70623,5530
7.66526,5530
7.62639,5530
7.74947,5562
7.70623,5562
7.66526,5562
7.62639,5562
7.74947,5594
7.70623,5594
7.66526,5594
7.62639,5594
7.74947,5626
7.70623,5626
7.66526,5626
7.62639,5626
7.74947,5658
7.70623,5658
7.66526,5658
7.62639,5658
7.74947,5690
7.70623,5690
7.66526,5690
7.62639,5690
7.74947,5722
7.70623,5722
7.66526,5722
7.62639,5722
7.74947,5754
7.70623,5754
7.66526,5754
7.62639,5754
7.74947,5786
7.70623,5786
7.66526,5786
7.62639,5786
7.74947,5818
7.70623,5818
7.66526,5818
7.62639,5818
7.74947,5850
7.70623,5850
7.66526,5850
7.62639,5850
7.74947,5882
7.70623,5882
7.66526,5882
7.62639,5882
7.74947,5914
7.70623,5914
7.66526,5914
7.62639,5914
7.74947,5946
7.70623,5946
7.66526,5946
7.62639,5946
7.74947,5978
7.70623,5978
7.66526,5978
7.62639,5978
7.74947,6010
7.70623,6010
7.66526,6010
7.62639,6010
7.74947,6042
7.70623,6042
7.66526,6042
7.62639,6042
7.74947,6074
7.70623,6074
7.66526,6074
7.62639,6074
7.74947,6106
7.70623,6106
7.66526,6106
7.62639,6106
7.74947,6138
7.70623,6138
7.66526,6138
7.62639,6138
7.74947,6170
7.70623,6170
7.66526,6170
7.62639,6170
7.74947,6202
7.70623,6202
7.66526,6202
7.62639,6202
7.74947,6234
7.70623,6234
7.66526,6234
7.62639,6234
7.74947,6266
7.70623,6266
7.66526,6266
7.62639,6266
7.74947,6298
7.70623,6298
7.66526,6298
7.62639,6298
7.74947,6330
7.70623,6330
7.66526,6330
7.62639,6330
7.74947,6362
7.70623,6362
7.66526,6362
7.62639,6362
7.74947,6394
7.70623,6394
7.66526,6394
7.62639,6394
7.74947,6426
7.70623,6426
7.66526,6426
7.62639,6426
7.74947,6458
7.70623,6458
7.66526,6458
7.62639,6458
7.74947,6490
7.70623,6490
7.66526,6490
7.62639,6490
7.74947,6522
7.70623,6522
7.66526,6522
7.62639,6522
7.74947,6554
7.70623,6554
7.66526,6554
7.62639,6554
7.74947,6586
7.70623,6586
7.66526,6586
7.62639,6586
7.74947,6618
7.70623,6618
7.66526,6618
7.62639,6618
7.74947,6650
7.70623,6650
7.66526,6650
7.62639,6650
7.74947,6682
7.70623,6682
7.66526,6682
7.62639,6682
7.74947,6714
7.70623,6714
7.66526,6714
7.62639,6714
7.74947,6746
7.70623,6746
7.66526,6746
7.62639,6746
7.74947,6778
7.70623,6778
7.66526,6778
7.62639,6778
7.74947,6810
7.70623,6810
7.66526,6810
7.62639,6810
7.74947,6842
7.70623,6842
7.66526,6842
7.62639,6842
7.74947,6874
7.70623,6874
7.66526,6874
7.62639,6874
7.74947,6906
7.70623,6906
7.66526,6906
7.62639,6906
7.74947,6938
7.70623,6938
7.66526,6938
7.62639,6938
7.74947,6970
7.70623,6970
7.66526,6970
7.62639,6970
7.74947,7002
7.70623,7002
7.66526,7002
7.62639,7002
7.74947,7034
7.70623,7034
7.66526,7034
7.62639,7034
7.74947,7066
7.70623,7066
7.66526,7066
7.62639,7066
7.74947,7098
7.70623,7098
7.66526,7098
7.62639,7098
7.74947,7130
7.70623,7130
7.66526,7130
7.62639,7130
7.74947,7162
7.70623,7162
7.66526,7162
7.62639,7162
7.74947,7194
7.70623,7194
7.66526,7194
7.62639,7194
7.74947,7226
7.70623,7226
7.66526,7226
7.62639,7226
7.74947,7258
7.70623,7258
7.66526,7258
7.62639,7258
7.74947,7290
7.70623,7290
7.66526,7290
7.62639,7290
7.74947,7322
7.70623,7322
7.66526,7322
7.62639,7322
7.74947,7354
7.70623,7354
7.66526,7354
7.62639,7354
7.74947,7386
7.70623,7386
7.66526,7386
7.62639,7386
7.74947,7418
7.70623,7418
7.66526,7418
7.62639,7418
7.74947,7450
7.70623,7450
7.66526,7450
7.62639,7450
7.74947,7482
7.70623,7482
7.66526,7482
7.62639,7482
