servicetime,time,numworkers,streamsize
16.425,50,500,300
13.55,55,500,300
11.8357,61,500,300
10.7107,66,500,300
9.93849,71,500,300
9.36349,76,500,300
8.91869,81,500,300
8.58535,87,500,300
8.28834,92,500,300
8.04192,97,500,300
7.85101,103,500,300
7.66872,108,500,300
7.51148,113,500,300
7.37457,118,500,300
7.23773,124,500,300
7.12835,129,500,300
7.03102,134,500,300
6.94389,139,500,300
6.87639,145,500,300
6.80347,150,500,300
6.73728,155,500,300
6.67697,160,500,300
6.61094,166,500,300
6.55886,171,500,300
6.51093,176,500,300
6.4667,181,500,300
6.43384,187,500,300
6.39478,192,500,300
6.35847,197,500,300
6.332,203,500,300
6.29951,208,500,300
6.26913,213,500,300
6.24742,219,500,300
6.21995,224,500,300
6.19412,229,500,300
6.16982,234,500,300
6.14625,240,500,300
6.12401,245,500,300
6.10299,250,500,300
6.08878,256,500,300
6.06941,261,500,300
6.05103,266,500,300
6.03359,271,500,300
6.01655,277,500,300
6.00033,282,500,300
5.9849,287,500,300
5.97509,293,500,300
5.72509,298,500,300
5.4802,303,500,300
5.2402,309,500,300
5.0625,314,500,300
5.1125,319,500,300
5.15417,324,500,300
5.18988,330,500,300
5.18988,335,500,300
5.19544,340,500,300
5.20377,346,500,300
5.23624,351,500,300
5.23624,356,500,300
5.23837,362,500,300
5.2598,367,500,300
5.25829,372,500,300
5.25829,378,500,300
5.27412,383,500,300
5.27214,388,500,300
5.27126,394,500,300
5.28376,399,500,300
5.28166,404,500,300
5.2804,410,500,300
5.2907,415,500,300
5.28861,420,500,300
5.28719,426,500,300
5.29593,431,500,300
5.29391,436,500,300
5.29243,441,500,300
5.29139,447,500,300
5.28947,452,500,300
5.28797,458,500,300
5.29467,463,500,300
5.30146,468,500,300
5.29999,474,500,300
5.29884,479,500,300
5.2971,484,500,300
5.29567,489,500,300
5.29451,495,500,300
5.3,500,500,300
5.29862,505,500,300
5.29746,511,500,300
5.30247,516,500,300
5.30113,521,500,300
5.3,527,500,300
5.3046,532,500,300
5.30331,537,500,300
5.3022,543,500,300
5.30646,548,500,300
5.30521,553,500,300
5.30412,559,500,300
5.30809,564,500,300
5.30689,569,500,300
5.30583,575,500,300
5.30953,580,500,300
5.30837,585,500,300
5.30734,591,500,300
5.30643,596,500,300
5.22773,601,500,300
5.15045,606,500,300
5.07456,612,500,300
5.0625,617,500,300
5.1125,622,500,300
5.15417,627,500,300
5.18988,633,500,300
5.18988,638,500,300
5.19544,643,500,300
5.20377,648,500,300
5.23624,654,500,300
5.23624,659,500,300
5.23837,664,500,300
5.2598,670,500,300
5.25829,675,500,300
5.25829,680,500,300
5.27412,686,500,300
5.27214,691,500,300
5.27126,696,500,300
5.27126,702,500,300
5.26916,707,500,300
5.2679,712,500,300
5.26733,718,500,300
5.27774,723,500,300
5.27632,728,500,300
5.27544,734,500,300
5.2843,739,500,300
5.28281,744,500,300
5.28178,750,500,300
5.28947,755,500,300
5.28797,760,500,300
5.28686,766,500,300
5.29365,771,500,300
5.29218,776,500,300
5.29103,781,500,300
5.29016,787,500,300
5.28197,792,500,300
5.28081,797,500,300
5.27989,802,500,300
5.2792,808,500,300
5.2848,813,500,300
5.28386,818,500,300
5.28312,823,500,300
5.28255,828,500,300
5.2816,834,500,300
5.28082,839,500,300
5.28021,844,500,300
5.27973,849,500,300
5.27894,855,500,300
5.27829,860,500,300
5.27776,865,500,300
5.27736,870,500,300
5.27197,876,500,300
5.27142,881,500,300
5.27097,886,500,300
5.27063,891,500,300
5.27038,896,500,300
5.20094,902,500,300
5.13275,907,500,300
5.06579,912,500,300
5.0625,918,500,300
5.1125,923,500,300
5.15417,928,500,300
5.18988,933,500,300
5.18988,939,500,300
5.19544,944,500,300
5.20377,949,500,300
5.23624,955,500,300
5.23624,960,500,300
5.23837,965,500,300
5.24195,970,500,300
5.24043,976,500,300
5.24043,981,500,300
5.24156,986,500,300
5.24355,991,500,300
5.22951,997,500,300
5.21701,1002,500,300
5.21771,1007,500,300
5.21897,1012,500,300
5.22069,1017,500,300
5.22277,1022,500,300
5.21325,1028,500,300
5.20451,1033,500,300
5.20572,1038,500,300
5.2072,1043,500,300
5.20893,1048,500,300
5.21085,1053,500,300
5.20368,1059,500,300
5.19699,1064,500,300
5.19829,1069,500,300
5.19976,1074,500,300
5.20138,1079,500,300
5.20311,1084,500,300
5.19738,1090,500,300
5.19196,1095,500,300
5.19324,1100,500,300
5.19463,1105,500,300
5.19612,1110,500,300
5.19768,1115,500,300
5.19291,1121,500,300
5.18837,1126,500,300
5.18959,1131,500,300
5.19088,1136,500,300
5.19224,1141,500,300
5.19366,1146,500,300
5.18958,1151,500,300
5.18567,1157,500,300
5.18681,1162,500,300
5.18801,1167,500,300
5.18927,1172,500,300
5.19056,1177,500,300
5.19154,1183,500,300
5.19257,1188,500,300
5.19365,1193,500,300
5.19477,1198,500,300
5.14477,1204,500,300
5.09566,1209,500,300
5.13075,1214,500,300
5.14583,1220,500,300
5.19583,1225,500,300
5.27917,1231,500,300
5.26726,1235,500,300
5.26726,1241,500,300
5.27282,1246,500,300
5.23948,1252,500,300
5.21351,1256,500,300
5.19268,1262,500,300
5.17558,1267,500,300
5.1613,1272,500,300
5.16584,1277,500,300
5.17105,1282,500,300
5.17671,1287,500,300
5.18266,1292,500,300
5.17213,1298,500,300
5.17526,1303,500,300
5.17876,1308,500,300
5.19391,1313,500,300
5.20879,1319,500,300
5.21087,1324,500,300
5.21325,1329,500,300
5.21412,1335,500,300
5.21533,1340,500,300
5.21682,1345,500,300
5.22716,1351,500,300
5.22781,1356,500,300
5.2287,1361,500,300
5.23763,1367,500,300
