throughput,time,numworkers,streamsize
0.0588235,17,16,5000
0.0869565,23,16,5000
0.107143,28,16,5000
0.121212,33,16,5000
0.131579,38,16,5000
0.139535,43,16,5000
0.145833,48,16,5000
0.150943,53,16,5000
0.155172,58,16,5000
0.15873,63,16,5000
0.161765,68,16,5000
0.164384,73,16,5000
0.164557,79,16,5000
0.166667,84,16,5000
0.168539,89,16,5000
0.170213,94,16,5000
0.171717,99,16,5000
0.173077,104,16,5000
0.174312,109,16,5000
0.175439,114,16,5000
0.176471,119,16,5000
0.177419,124,16,5000
0.178295,129,16,5000
0.179104,134,16,5000
0.179856,139,16,5000
0.17931,145,16,5000
0.18,150,16,5000
0.180645,155,16,5000
0.18125,160,16,5000
0.181818,165,16,5000
0.182353,170,16,5000
0.182857,175,16,5000
0.183333,180,16,5000
0.183784,185,16,5000
0.184211,190,16,5000
0.184615,195,16,5000
0.185,200,16,5000
0.185366,205,16,5000
0.184834,211,16,5000
0.185185,216,16,5000
0.18552,221,16,5000
0.185841,226,16,5000
0.186147,231,16,5000
0.186441,236,16,5000
0.186722,241,16,5000
0.186992,246,16,5000
0.187251,251,16,5000
0.1875,256,16,5000
0.187739,261,16,5000
0.18797,266,16,5000
0.188192,271,16,5000
0.188406,276,16,5000
0.187943,282,16,5000
0.188153,287,16,5000
0.188356,292,16,5000
0.188552,297,16,5000
0.188742,302,16,5000
0.2,307,16,5000
0.2,312,16,5000
0.2,317,16,5000
0.2,322,16,5000
0.2,327,16,5000
0.2,332,16,5000
0.2,337,16,5000
0.2,342,16,5000
0.2,347,16,5000
0.2,352,16,5000
0.2,358,16,5000
0.2,363,16,5000
0.2,368,16,5000
0.197183,373,16,5000
0.197368,378,16,5000
0.197531,383,16,5000
0.197674,388,16,5000
0.197802,393,16,5000
0.197917,398,16,5000
0.19802,403,16,5000
0.198113,408,16,5000
0.198198,413,16,5000
0.198276,418,16,5000
0.198347,423,16,5000
0.198413,429,16,5000
0.198473,434,16,5000
0.198529,439,16,5000
0.198582,444,16,5000
0.197279,449,16,5000
0.197368,454,16,5000
0.197452,459,16,5000
0.197531,464,16,5000
0.197605,469,16,5000
0.197674,474,16,5000
0.19774,479,16,5000
0.197802,484,16,5000
0.197861,489,16,5000
0.197917,494,16,5000
0.19797,500,16,5000
0.19802,505,16,5000
0.198068,510,16,5000
0.198113,515,16,5000
0.197248,520,16,5000
0.197309,525,16,5000
0.197368,530,16,5000
0.197425,535,16,5000
0.197479,540,16,5000
0.197531,545,16,5000
0.197581,550,16,5000
0.197628,555,16,5000
0.197674,560,16,5000
0.197719,565,16,5000
0.197761,570,16,5000
0.197802,576,16,5000
0.197842,581,16,5000
0.197183,586,16,5000
0.197232,591,16,5000
0.197279,596,16,5000
0.197324,601,16,5000
0.197368,606,16,5000
0.2,611,16,5000
0.2,616,16,5000
0.2,621,16,5000
0.2,626,16,5000
0.2,631,16,5000
0.2,637,16,5000
0.2,642,16,5000
0.2,647,16,5000
0.2,652,16,5000
0.2,657,16,5000
0.2,662,16,5000
0.2,667,16,5000
0.19697,672,16,5000
0.197183,677,16,5000
0.197368,682,16,5000
0.197531,687,16,5000
0.197674,693,16,5000
0.197802,698,16,5000
0.197917,703,16,5000
0.19802,708,16,5000
0.198113,713,16,5000
0.198198,718,16,5000
0.198276,723,16,5000
0.198347,728,16,5000
0.198413,733,16,5000
0.19697,738,16,5000
0.19708,743,16,5000
0.197183,748,16,5000
0.197279,753,16,5000
0.197368,759,16,5000
0.197452,764,16,5000
0.197531,769,16,5000
0.197605,774,16,5000
0.197674,779,16,5000
0.19774,784,16,5000
0.197802,789,16,5000
0.197861,794,16,5000
0.196891,799,16,5000
0.19697,804,16,5000
0.197044,809,16,5000
0.197115,814,16,5000
0.197183,819,16,5000
0.197248,825,16,5000
0.197309,830,16,5000
0.197368,835,16,5000
0.197425,840,16,5000
0.197479,845,16,5000
0.197531,850,16,5000
0.196787,856,16,5000
0.19685,861,16,5000
0.196911,866,16,5000
0.19697,871,16,5000
0.197026,876,16,5000
0.19708,881,16,5000
0.196429,886,16,5000
0.196491,891,16,5000
0.196552,896,16,5000
0.19661,901,16,5000
0.196667,906,16,5000
0.2,912,16,5000
0.2,917,16,5000
0.2,922,16,5000
0.2,927,16,5000
0.2,932,16,5000
0.2,937,16,5000
0.2,942,16,5000
0.2,947,16,5000
0.2,952,16,5000
0.2,957,16,5000
0.2,962,16,5000
0.196721,968,16,5000
0.19697,973,16,5000
0.197183,978,16,5000
0.197368,983,16,5000
0.197531,988,16,5000
0.197674,993,16,5000
0.197802,998,16,5000
0.197917,1003,16,5000
0.19802,1008,16,5000
0.198113,1013,16,5000
0.198198,1018,16,5000
0.196581,1023,16,5000
0.196721,1029,16,5000
0.19685,1034,16,5000
0.19697,1039,16,5000
0.19708,1044,16,5000
0.197183,1049,16,5000
0.197279,1054,16,5000
0.197368,1059,16,5000
0.197452,1064,16,5000
0.197531,1069,16,5000
0.197605,1074,16,5000
0.197674,1079,16,5000
0.19774,1084,16,5000
0.197802,1089,16,5000
0.196809,1095,16,5000
0.196891,1100,16,5000
0.19697,1105,16,5000
0.197044,1110,16,5000
0.197115,1115,16,5000
0.197183,1120,16,5000
0.197248,1125,16,5000
0.197309,1130,16,5000
0.197368,1135,16,5000
0.197425,1140,16,5000
0.197479,1145,16,5000
0.197531,1150,16,5000
0.197581,1155,16,5000
0.19685,1160,16,5000
0.196911,1166,16,5000
0.19697,1171,16,5000
0.197026,1176,16,5000
0.19708,1181,16,5000
0.197133,1186,16,5000
0.197183,1191,16,5000
0.197232,1196,16,5000
0.197279,1201,16,5000
0.197324,1206,16,5000
0.197368,1211,16,5000
0.2,1216,16,5000
0.2,1221,16,5000
0.2,1226,16,5000
0.2,1231,16,5000
0.2,1236,16,5000
0.2,1242,16,5000
0.2,1247,16,5000
0.2,1252,16,5000
0.2,1257,16,5000
0.2,1262,16,5000
0.2,1267,16,5000
0.2,1272,16,5000
0.2,1277,16,5000
0.2,1282,16,5000
0.197368,1287,16,5000
0.197531,1292,16,5000
0.197674,1297,16,5000
0.197802,1302,16,5000
0.197917,1308,16,5000
0.19802,1313,16,5000
0.198113,1318,16,5000
0.198198,1323,16,5000
0.198276,1328,16,5000
0.198347,1333,16,5000
0.198413,1338,16,5000
0.19697,1343,16,5000
0.19708,1348,16,5000
0.197183,1353,16,5000
0.197279,1358,16,5000
0.197368,1364,16,5000
0.197452,1369,16,5000
0.197531,1374,16,5000
0.197605,1379,16,5000
0.197674,1384,16,5000
0.19774,1389,16,5000
0.197802,1394,16,5000
0.196809,1399,16,5000
0.196891,1404,16,5000
0.19697,1409,16,5000
0.197044,1414,16,5000
0.197115,1419,16,5000
0.197183,1425,16,5000
0.197248,1430,16,5000
0.197309,1435,16,5000
0.197368,1440,16,5000
0.197425,1445,16,5000
0.197479,1450,16,5000
0.197531,1455,16,5000
0.196787,1460,16,5000
0.19685,1465,16,5000
0.196911,1470,16,5000
0.19697,1475,16,5000
0.197026,1481,16,5000
0.19708,1486,16,5000
0.197133,1491,16,5000
0.197183,1496,16,5000
0.197232,1501,16,5000
0.197279,1506,16,5000
0.197324,1511,16,5000
0.196721,1516,16,5000
0.2,1521,16,5000
