time,numworkers,streamsize
2177,16,500
7345,16,500
12494,16,500
17617,16,500
22761,16,500
27879,16,500
32987,16,500
38066,16,500
43185,16,500
48295,16,500
53363,16,500
58462,16,500
63560,16,500
68622,16,500
73682,16,500
78797,16,500
83860,16,500
88923,16,500
93982,16,500
99084,16,500
104188,16,500
109316,16,500
114421,16,500
119481,16,500
124542,16,500
129602,16,500
134692,16,500
139797,16,500
144898,16,500
149923,16,500
154988,16,500
160089,16,500
165191,16,500
170297,16,500
175397,16,500
180460,16,500
185520,16,500
190580,16,500
195680,16,500
200799,16,500
205901,16,500
211013,16,500
216115,16,500
221194,16,500
226298,16,500
231360,16,500
236421,16,500
241482,16,500
246584,16,500
251650,16,500
256712,16,500
261826,16,500
266889,16,500
271949,16,500
277064,16,500
282127,16,500
287230,16,500
292350,16,500
297450,16,500
302551,16,500
307650,16,500
312712,16,500
317771,16,500
322839,16,500
327945,16,500
333012,16,500
338072,16,500
343172,16,500
348236,16,500
353295,16,500
358392,16,500
363499,16,500
368621,16,500
373727,16,500
378789,16,500
383850,16,500
388909,16,500
393984,16,500
399089,16,500
404192,16,500
409253,16,500
414352,16,500
419451,16,500
424544,16,500
429659,16,500
434756,16,500
439857,16,500
444921,16,500
449959,16,500
455060,16,500
460123,16,500
465183,16,500
470244,16,500
475346,16,500
480447,16,500
485550,16,500
490612,16,500
495712,16,500
500812,16,500
505914,16,500
511012,16,500
516111,16,500
521211,16,500
526274,16,500
531377,16,500
536484,16,500
541546,16,500
546606,16,500
551666,16,500
556742,16,500
561858,16,500
566921,16,500
571982,16,500
577084,16,500
582186,16,500
587297,16,500
592415,16,500
597479,16,500
602541,16,500
607601,16,500
612661,16,500
617724,16,500
622786,16,500
627846,16,500
632906,16,500
637983,16,500
643045,16,500
648108,16,500
653168,16,500
658263,16,500
663328,16,500
668391,16,500
673452,16,500
678554,16,500
683618,16,500
688722,16,500
693784,16,500
698844,16,500
703904,16,500
708964,16,500
714026,16,500
719145,16,500
724252,16,500
729315,16,500
734376,16,500
739436,16,500
744497,16,500
749603,16,500
754666,16,500
