servicetime,time
4.16901,2840
4.125,2841
4.11111,2846
4.22857,2856
4.16901,2856
4.125,2857
4.09722,2862
4.16901,2872
4.11111,2872
4.06849,2873
4.08219,2878
4.16901,2888
4.125,2889
4.15278,2895
4.1831,2900
4.16901,2904
4.125,2905
4.15278,2911
4.22857,2920
4.1831,2921
4.21127,2927
4.22535,2932
4.22857,2936
4.1831,2937
4.15493,2943
4.33824,2959
4.27536,2959
4.21429,2959
4.15493,2959
4.16667,2964
4.13889,2968
4.09589,2969
4.34783,2988
4.28571,2988
4.22535,2988
4.16667,2988
4.09722,2991
4.10959,2996
4.13889,3000
4.09589,3001
4.09722,3007
4.10959,3012
4.13889,3016
4.09589,3017
4.09722,3023
4.10959,3028
4.13889,3032
4.09589,3033
4.09722,3039
4.10959,3044
4.13889,3048
4.09589,3049
4.09722,3055
4.10959,3060
4.15278,3065
4.16667,3068
4.09722,3071
4.10959,3076
4.11268,3084
4.09722,3087
4.06849,3089
4.05405,3092
4.15493,3103
4.16667,3108
4.24286,3111
4.1831,3111
4.15493,3119
4.16667,3124
4.25714,3128
4.21429,3135
4.22535,3140
4.30435,3143
4.27536,3151
4.44776,3160
4.38235,3160
4.31884,3160
4.28986,3168
