servicetime,time,numworkers,streamsize
16,16,4,5000
11,22,4,5000
9,27,4,5000
8,32,4,5000
7.4,37,4,5000
7,42,4,5000
6.71429,47,4,5000
6.5,52,4,5000
6.33333,57,4,5000
6.2,62,4,5000
6.09091,67,4,5000
6.08333,73,4,5000
6,78,4,5000
5.92857,83,4,5000
5.86667,88,4,5000
5.8125,93,4,5000
5.76471,98,4,5000
5.72222,103,4,5000
5.68421,108,4,5000
5.65,113,4,5000
5.61905,118,4,5000
5.63636,124,4,5000
5.6087,129,4,5000
5.58333,134,4,5000
5.56,139,4,5000
5.53846,144,4,5000
5.51852,149,4,5000
5.5,154,4,5000
5.48276,159,4,5000
5.46667,164,4,5000
5.45161,169,4,5000
5.46875,175,4,5000
5.45455,180,4,5000
5.44118,185,4,5000
5.42857,190,4,5000
5.41667,195,4,5000
5.40541,200,4,5000
5.39474,205,4,5000
5.38462,210,4,5000
5.375,215,4,5000
5.36585,220,4,5000
5.35714,225,4,5000
5.37209,231,4,5000
5.36364,236,4,5000
5.35556,241,4,5000
5.34783,246,4,5000
5.34043,251,4,5000
5.33333,256,4,5000
5.32653,261,4,5000
5.32,266,4,5000
5.31373,271,4,5000
5.30769,276,4,5000
5.32075,282,4,5000
5.31481,287,4,5000
5.30909,292,4,5000
5.30357,297,4,5000
5.29825,302,4,5000
5,307,4,5000
5,312,4,5000
5,317,4,5000
5,322,4,5000
5,327,4,5000
5,333,4,5000
5,338,4,5000
5,343,4,5000
5,348,4,5000
5,353,4,5000
5.09091,358,4,5000
5.08333,363,4,5000
5.07692,368,4,5000
5.07143,373,4,5000
5.06667,379,4,5000
5.0625,384,4,5000
5.05882,389,4,5000
5.05556,394,4,5000
5.05263,399,4,5000
5.05,404,4,5000
5.04762,409,4,5000
5.04545,414,4,5000
5.08696,419,4,5000
5.08333,424,4,5000
5.08,429,4,5000
5.07692,434,4,5000
5.07407,439,4,5000
5.07143,444,4,5000
5.06897,449,4,5000
5.06667,455,4,5000
5.06452,460,4,5000
5.0625,465,4,5000
5.06061,470,4,5000
5.05882,475,4,5000
5.05714,480,4,5000
5.05556,485,4,5000
5.08108,490,4,5000
5.07895,495,4,5000
5.07692,500,4,5000
5.075,505,4,5000
5.07317,510,4,5000
5.07143,515,4,5000
5.06977,520,4,5000
5.06818,526,4,5000
5.06667,531,4,5000
5.06522,536,4,5000
5.06383,541,4,5000
5.0625,546,4,5000
5.06122,551,4,5000
5.06,556,4,5000
5.07843,561,4,5000
5.07692,566,4,5000
5.07547,571,4,5000
5.07407,576,4,5000
5.07273,581,4,5000
5.07143,586,4,5000
5.07018,591,4,5000
5.06897,597,4,5000
5.0678,602,4,5000
5.06667,607,4,5000
5,612,4,5000
5,617,4,5000
5,622,4,5000
5,627,4,5000
5,632,4,5000
5,637,4,5000
5,642,4,5000
5,647,4,5000
5,652,4,5000
5,657,4,5000
5,662,4,5000
5,668,4,5000
5,673,4,5000
5,678,4,5000
5.06667,683,4,5000
5.0625,688,4,5000
5.05882,693,4,5000
5.05556,698,4,5000
5.05263,703,4,5000
5.05,708,4,5000
5.04762,713,4,5000
5.04545,718,4,5000
5.04348,723,4,5000
5.04167,728,4,5000
5.04,733,4,5000
5.03846,738,4,5000
5.03704,744,4,5000
5.07143,749,4,5000
5.06897,754,4,5000
5.06667,759,4,5000
5.06452,764,4,5000
5.0625,769,4,5000
5.06061,774,4,5000
5.05882,779,4,5000
5.05714,784,4,5000
5.05556,789,4,5000
5.05405,794,4,5000
5.05263,799,4,5000
5.05128,804,4,5000
5.05,810,4,5000
5.04878,815,4,5000
5.04762,820,4,5000
5.04651,825,4,5000
5.06818,830,4,5000
5.06667,835,4,5000
5.06522,840,4,5000
5.06383,845,4,5000
5.0625,850,4,5000
5.06122,855,4,5000
5.06,860,4,5000
5.05882,865,4,5000
5.05769,870,4,5000
5.0566,875,4,5000
5.05556,880,4,5000
5.05455,885,4,5000
5.05357,891,4,5000
5.07018,896,4,5000
5.06897,901,4,5000
5.0678,906,4,5000
5.06667,911,4,5000
5,916,4,5000
5,921,4,5000
5,927,4,5000
5,932,4,5000
5,937,4,5000
5,942,4,5000
5,947,4,5000
5,952,4,5000
5,957,4,5000
5,962,4,5000
5,967,4,5000
5,972,4,5000
5,977,4,5000
5.07143,982,4,5000
5.06667,987,4,5000
5.0625,993,4,5000
5.05882,998,4,5000
5.05556,1003,4,5000
5.05263,1008,4,5000
5.05,1013,4,5000
5.04762,1018,4,5000
5.04545,1023,4,5000
5.04348,1028,4,5000
5.04167,1033,4,5000
5.04,1038,4,5000
5.03846,1043,4,5000
5.03704,1048,4,5000
5.07143,1053,4,5000
5.06897,1058,4,5000
5.06667,1063,4,5000
5.06452,1069,4,5000
5.0625,1074,4,5000
5.06061,1079,4,5000
5.05882,1084,4,5000
5.05714,1089,4,5000
5.05556,1094,4,5000
5.05405,1099,4,5000
5.05263,1104,4,5000
5.05128,1109,4,5000
5.05,1114,4,5000
5.04878,1119,4,5000
5.04762,1124,4,5000
5.06977,1129,4,5000
5.06818,1134,4,5000
5.06667,1140,4,5000
5.06522,1145,4,5000
5.06383,1150,4,5000
5.0625,1155,4,5000
5.06122,1160,4,5000
5.06,1165,4,5000
5.05882,1170,4,5000
5.05769,1175,4,5000
5.0566,1180,4,5000
5.05556,1185,4,5000
5.05455,1190,4,5000
5.05357,1195,4,5000
5.07018,1200,4,5000
5.06897,1205,4,5000
5.0678,1211,4,5000
5.06667,1216,4,5000
5,1221,4,5000
5,1226,4,5000
5,1231,4,5000
5,1236,4,5000
5,1241,4,5000
5,1246,4,5000
5,1251,4,5000
