throughput,time
0.5,10
0.4,13
0.428571,15
0.444444,17
0.454545,19
0.461538,21
0.466667,23
0.470588,25
0.45,28
0.454545,30
0.458333,32
0.461538,34
0.464286,36
0.466667,38
0.46875,40
0.470588,42
0.472222,44
0.473684,46
0.463415,49
0.465116,51
0.466667,53
0.468085,55
0.469388,57
0.470588,59
0.471698,61
0.472727,63
0.473684,65
0.474576,67
0.47541,69
0.47619,71
0.476923,73
0.470588,76
0.471429,78
0.472222,80
0.472973,82
0.473684,84
0.474359,86
0.475,88
0.47561,90
0.47619,92
0.476744,94
0.477273,96
0.477778,98
0.478261,100
0.478723,102
0.479167,104
0.479592,106
0.48,108
0.475728,111
0.47619,113
0.476636,115
0.477064,117
0.477477,119
0.477876,121
0.478261,123
0.478632,125
0.478992,127
0.479339,129
0.479675,131
0.47619,134
0.476562,136
0.476923,138
0.477273,140
0.477612,142
0.477941,144
0.478261,146
0.478571,148
0.478873,150
0.479167,152
0.479452,154
0.47973,156
0.48,158
0.480263,160
0.480519,162
0.477707,165
0.477987,167
0.478261,169
0.478528,171
0.478788,173
0.479042,175
0.47929,177
0.479532,179
0.479769,181
0.48,183
0.477528,186
0.477778,188
0.478022,190
0.478261,192
0.478495,194
0.478723,196
0.478947,198
0.479167,200
0.479381,202
0.479592,204
0.479798,206
0.48,208
0.466346,216
0.453704,224
0.441964,232
0.431034,240
0.420833,248
0.41129,256
0.402344,264
0.393939,272
0.386029,280
0.378571,288
0.371528,296
0.363636,305
0.356667,313
0.346667,321
0.337793,329
0.327759,337
0.317726,345
0.311037,352
0.3,361
0.29,369
0.280936,377
0.270903,385
0.26087,393
0.250836,401
0.241611,409
0.233333,417
0.223333,425
0.214047,433
0.204013,441
0.19398,449
0.183946,457
0.176667,465
0.166667,473
0.156667,481
0.147157,489
0.137124,497
0.12709,505
0.124579,513
0.124579,521
0.124579,529
0.124579,537
0.124579,545
0.124579,553
0.124579,561
0.124579,569
0.124579,577
0.124579,585
0.124579,593
0.125,601
0.125,609
0.125,617
0.125,625
0.125,633
0.125,641
0.124579,649
0.125,657
0.125,665
0.125,673
0.125,681
0.125,689
0.125,697
0.125,705
0.125,713
0.125,721
0.125,729
0.125,737
0.125,745
0.125,753
0.125,761
0.125,769
0.125,777
0.125,785
0.125,793
0.125,801
0.125,809
0.125,817
0.125,825
0.125,833
0.125,841
0.125,849
0.125,857
0.125,865
0.125,873
0.125,881
0.125,889
0.125,897
0.125,905
0.125,913
0.125,921
0.125,929
0.125,937
0.125,945
0.125,953
0.125,961
0.125,969
0.125,977
0.125,985
0.125,993
0.125,1001
0.125,1009
0.125,1017
0.125,1025
0.125,1033
0.125,1041
0.125,1049
0.125,1057
0.125,1065
0.125,1073
0.125,1081
0.125,1089
0.125,1097
0.125,1105
0.125,1113
0.125,1121
0.125,1129
0.125,1137
0.125,1145
0.125,1153
0.125,1161
0.125,1169
0.125,1177
0.125,1185
0.125,1193
0.125,1201
0.125,1209
0.125,1217
0.125,1225
0.125,1233
0.125,1241
0.125,1249
0.125,1257
0.125,1265
0.125,1273
0.125,1281
0.125,1289
0.125,1297
0.125,1305
0.125,1313
0.125,1321
0.125,1329
0.125,1337
0.125,1345
0.125,1353
0.125,1361
0.125,1369
0.125,1377
0.125,1385
0.125,1393
0.125,1401
0.125,1409
0.125,1417
0.125,1425
0.125,1433
0.125,1441
0.125,1449
0.125,1457
0.125,1465
0.125,1473
0.125,1481
0.125,1489
0.125,1497
0.125,1505
0.125,1513
0.125,1521
0.125,1529
0.125,1537
0.125,1545
0.125,1553
0.125,1561
0.125,1569
0.125,1577
0.125,1585
0.125,1593
0.125,1601
0.125,1609
0.125,1617
0.125,1625
0.125,1633
0.125,1641
0.125,1649
0.125,1657
0.125,1665
0.125,1673
0.125,1681
0.125,1689
0.125,1697
0.125,1705
0.125,1713
0.125,1721
0.125,1729
0.125,1737
0.125,1745
0.125,1753
0.125,1761
0.125,1769
0.125,1777
0.125,1785
0.125,1793
0.125,1801
0.125,1809
0.125,1817
0.125,1825
0.125,1833
0.125,1841
0.125,1849
0.125,1857
0.125,1865
0.125,1873
0.125,1881
0.125,1889
0.125,1897
0.125,1905
0.125,1913
0.125,1921
0.125,1929
0.125,1937
0.125,1945
0.125,1953
0.125,1961
0.125,1969
0.125,1977
0.125,1985
0.125,1993
0.125,2001
0.125,2009
0.125,2017
0.125,2025
0.125,2033
0.125,2041
0.125,2049
0.125,2057
0.125,2065
0.125,2073
0.125,2081
0.125,2089
0.125,2097
0.125,2105
0.125,2113
0.125,2121
0.125,2129
0.125,2137
0.125,2145
0.125,2153
0.125,2161
0.125,2169
0.125,2177
0.125,2185
0.125,2193
0.125,2201
0.125,2209
0.125,2217
0.125,2225
0.125,2233
0.125,2241
0.125,2249
0.125,2257
0.125,2265
0.125,2273
0.125,2281
0.125,2289
0.125,2297
0.125,2305
0.125,2313
0.125,2321
0.125,2329
0.125,2337
0.125,2345
0.125,2353
0.125,2361
0.125,2369
0.125,2377
0.125,2385
0.125,2393
0.125,2401
0.125,2409
0.125,2417
0.125,2425
0.125,2433
0.125,2441
0.125,2449
0.125,2457
0.125,2465
0.125,2473
0.125,2481
0.125,2489
0.125,2497
0.125,2505
0.125,2513
0.125,2521
0.125,2529
0.125,2537
0.125,2545
0.125,2553
0.125,2561
0.125,2569
0.125,2577
0.125,2585
0.125,2593
0.125,2601
0.124579,2610
0.125,2617
0.125,2625
0.125,2633
0.125,2641
0.125,2649
0.125,2657
0.125,2665
0.125,2673
0.124579,2682
0.125,2689
0.124579,2698
0.124579,2706
0.124579,2714
0.124579,2722
0.124579,2730
0.124579,2738
0.124579,2746
0.125,2753
0.124579,2762
0.124579,2770
0.124579,2778
0.124579,2786
0.124579,2794
0.124579,2802
0.124579,2810
0.124579,2818
0.124579,2826
0.124579,2834
0.124579,2842
0.124579,2850
0.124579,2858
0.124579,2866
0.124579,2874
0.124579,2882
0.124579,2890
0.124579,2898
0.125,2906
0.124579,2914
0.124579,2922
0.124579,2930
0.124579,2938
0.124579,2946
0.124579,2954
0.124579,2962
0.124579,2970
0.125,2978
0.124579,2986
0.125,2994
0.125,3002
0.125,3010
