servicetime,time,numworkers,streamsize
18,18,16,500
11.5,23,16,500
9.33333,28,16,500
8.25,33,16,500
7.8,39,16,500
7.33333,44,16,500
7,49,16,500
6.75,54,16,500
6.55556,59,16,500
6.4,64,16,500
6.27273,69,16,500
6.16667,74,16,500
6.07692,79,16,500
6,84,16,500
5.93333,89,16,500
5.875,94,16,500
5.82353,99,16,500
5.83333,105,16,500
5.78947,110,16,500
5.75,115,16,500
5.71429,120,16,500
5.68182,125,16,500
5.65217,130,16,500
5.625,135,16,500
5.6,140,16,500
5.57692,145,16,500
5.55556,150,16,500
5.53571,155,16,500
5.55172,161,16,500
5.5,165,16,500
5.51613,171,16,500
5.5,176,16,500
5.48485,181,16,500
5.47059,186,16,500
5.45714,191,16,500
5.44444,196,16,500
5.43243,201,16,500
5.42105,206,16,500
5.41026,211,16,500
5.4,216,16,500
5.39024,221,16,500
5.40476,227,16,500
5.39535,232,16,500
5.38636,237,16,500
5.37778,242,16,500
5.36957,247,16,500
5.3617,252,16,500
5.35417,257,16,500
5.34694,262,16,500
5.34,267,16,500
5.33333,272,16,500
5.32692,277,16,500
5.32075,282,16,500
5.33333,288,16,500
5.32727,293,16,500
5.32143,298,16,500
5.31579,303,16,500
5,308,16,500
5,313,16,500
5,318,16,500
5,323,16,500
5,328,16,500
5,333,16,500
5,338,16,500
5,343,16,500
5,349,16,500
5,354,16,500
5.09091,359,16,500
5.08333,364,16,500
5.07692,369,16,500
5.07143,374,16,500
5.06667,379,16,500
5.0625,384,16,500
5.05882,389,16,500
5.05556,394,16,500
5.05263,399,16,500
5.05,404,16,500
5.04762,410,16,500
5.04545,415,16,500
5.08696,420,16,500
5.08333,425,16,500
5.08,430,16,500
5.07692,435,16,500
5.07407,440,16,500
5.07143,445,16,500
5.06897,450,16,500
5.06667,455,16,500
5.06452,460,16,500
5.0625,466,16,500
5.06061,471,16,500
5.05882,476,16,500
5.05714,481,16,500
5.05556,486,16,500
5.08108,491,16,500
5.07895,496,16,500
5.07692,501,16,500
5.075,506,16,500
5.07317,511,16,500
5.07143,516,16,500
5.06977,521,16,500
5.25,535,16,500
5.24444,540,16,500
5.23913,545,16,500
5.25532,550,16,500
5.25,555,16,500
5.2449,560,16,500
5.24,565,16,500
5.23529,570,16,500
5.23077,575,16,500
5.22642,580,16,500
5.22222,585,16,500
5.21818,591,16,500
5.21429,596,16,500
5.21053,601,16,500
5.2069,606,16,500
5,611,16,500
5,616,16,500
5,621,16,500
5,626,16,500
5,631,16,500
5,636,16,500
5,641,16,500
5,646,16,500
5,651,16,500
5,656,16,500
5,662,16,500
5,667,16,500
5,672,16,500
5.07143,677,16,500
5.06667,682,16,500
5.0625,687,16,500
5.05882,692,16,500
5.05556,697,16,500
5.05263,702,16,500
5.05,707,16,500
5.04762,712,16,500
5.04545,717,16,500
5.04348,722,16,500
5.04167,727,16,500
