throughput,time,numworkers,streamsize
0.110879,28,16,500
0.123231,33,16,500
0.13216,38,16,500
0.138894,43,16,500
0.144978,49,16,500
0.149949,54,16,500
0.15409,59,16,500
0.157594,64,16,500
0.160597,69,16,500
0.163202,74,16,500
0.165481,79,16,500
0.167494,84,16,500
0.169284,89,16,500
0.170474,94,16,500
0.171521,99,16,500
0.172447,104,16,500
0.173267,109,16,500
0.17441,115,16,500
0.175459,120,16,500
0.176425,125,16,500
0.177318,130,16,500
0.178146,135,16,500
0.178915,140,16,500
0.179632,145,16,500
0.18002,150,16,500
0.180647,155,16,500
0.180969,160,16,500
0.181262,165,16,500
0.181811,171,16,500
0.182055,175,16,500
0.182545,181,16,500
0.183009,186,16,500
0.183449,191,16,500
0.183866,196,16,500
0.184263,201,16,500
0.184641,206,16,500
0.185001,211,16,500
0.18514,216,16,500
0.185268,221,16,500
0.185385,226,16,500
0.185493,231,16,500
0.185796,237,16,500
0.186087,242,16,500
0.186366,247,16,500
0.186634,252,16,500
0.186892,257,16,500
0.18714,262,16,500
0.187379,267,16,500
0.187609,272,16,500
0.187667,277,16,500
0.187721,282,16,500
0.187769,287,16,500
0.187813,292,16,500
0.190938,298,16,500
0.19401,303,16,500
0.19703,308,16,500
0.2,313,16,500
0.2,318,16,500
0.2,323,16,500
0.2,328,16,500
0.2,333,16,500
0.2,338,16,500
0.2,343,16,500
0.199107,348,16,500
0.198287,353,16,500
0.19753,359,16,500
0.196826,364,16,500
0.197061,369,16,500
0.197263,374,16,500
0.197439,379,16,500
0.197594,384,16,500
0.197731,389,16,500
0.197853,394,16,500
0.197963,399,16,500
0.198062,404,16,500
0.197728,409,16,500
0.197403,414,16,500
0.197088,420,16,500
0.196781,425,16,500
0.196905,430,16,500
0.197021,435,16,500
0.197128,440,16,500
0.197228,445,16,500
0.197321,450,16,500
0.197408,455,16,500
0.197489,460,16,500
0.197566,465,16,500
0.197638,470,16,500
0.197705,476,16,500
0.197506,481,16,500
0.197311,486,16,500
0.197118,491,16,500
0.196928,496,16,500
0.197005,501,16,500
0.197078,506,16,500
0.197148,511,16,500
0.195506,520,16,500
0.193896,525,16,500
0.192318,530,16,500
0.190577,535,16,500
0.190577,545,16,500
0.190573,550,16,500
0.190565,555,16,500
0.190747,560,16,500
0.190922,565,16,500
0.191091,570,16,500
0.191253,575,16,500
0.19141,580,16,500
0.191561,585,16,500
0.191707,590,16,500
0.191848,595,16,500
0.193938,601,16,500
0.195993,606,16,500
0.198013,611,16,500
0.2,616,16,500
0.2,621,16,500
0.2,626,16,500
0.2,631,16,500
0.2,636,16,500
0.2,641,16,500
0.2,646,16,500
0.2,651,16,500
0.2,656,16,500
0.2,661,16,500
0.199296,666,16,500
0.198638,672,16,500
0.198021,677,16,500
0.197439,682,16,500
0.197594,687,16,500
0.197731,692,16,500
0.197853,697,16,500
0.197963,702,16,500
0.198062,707,16,500
0.198152,712,16,500
0.198234,717,16,500
0.198308,722,16,500
0.198377,727,16,500
0.198441,732,16,500
0.19815,737,16,500
0.197866,742,16,500
0.19759,748,16,500
0.197321,753,16,500
0.197408,758,16,500
0.197489,763,16,500
0.197566,768,16,500
0.197638,773,16,500
0.197705,778,16,500
0.197769,783,16,500
0.19783,788,16,500
0.197887,793,16,500
0.197942,798,16,500
0.197755,803,16,500
0.197572,809,16,500
0.197391,814,16,500
0.197214,819,16,500
0.197277,824,16,500
0.197338,829,16,500
0.197395,834,16,500
0.197451,839,16,500
0.197504,844,16,500
0.197555,849,16,500
0.197604,854,16,500
0.197463,859,16,500
0.197325,865,16,500
0.197188,870,16,500
0.197052,875,16,500
0.197106,880,16,500
0.197157,885,16,500
0.197207,890,16,500
0.197255,895,16,500
0.197301,900,16,500
0.197993,905,16,500
0.198673,910,16,500
0.199342,915,16,500
0.2,920,16,500
0.2,925,16,500
0.2,931,16,500
0.2,936,16,500
0.2,941,16,500
0.2,946,16,500
0.2,951,16,500
0.2,956,16,500
0.2,961,16,500
0.2,966,16,500
0.199296,971,16,500
0.198638,976,16,500
0.198021,981,16,500
0.197439,986,16,500
0.197594,991,16,500
0.197731,996,16,500
0.197853,1002,16,500
0.197963,1007,16,500
0.198062,1012,16,500
0.199468,1015,16,500
0.201687,1019,16,500
0.205125,1022,16,500
0.209294,1027,16,500
0.213287,1028,16,500
0.217119,1032,16,500
0.220793,1033,16,500
0.223465,1038,16,500
0.224747,1041,16,500
0.225135,1045,16,500
0.224238,1049,16,500
0.223402,1054,16,500
0.222623,1059,16,500
0.221557,1064,16,500
0.220547,1069,16,500
0.219589,1074,16,500
0.218679,1079,16,500
0.218149,1084,16,500
0.217648,1090,16,500
0.217174,1095,16,500
0.216724,1100,16,500
0.216298,1105,16,500
0.215893,1110,16,500
0.215508,1115,16,500
0.214897,1120,16,500
0.214308,1125,16,500
0.213742,1130,16,500
0.213195,1135,16,500
0.212911,1140,16,500
0.212639,1146,16,500
0.212378,1151,16,500
0.212127,1156,16,500
0.211887,1161,16,500
0.211656,1166,16,500
0.211239,1171,16,500
0.210834,1176,16,500
0.210441,1181,16,500
0.210058,1186,16,500
0.20988,1191,16,500
0.209709,1196,16,500
0.209543,1202,16,500
0.207096,1207,16,500
0.20469,1212,16,500
0.202326,1217,16,500
0.2,1222,16,500
0.2,1227,16,500
