servicetime,time
2,20
2,22
2,24
2,26
2.02,29
2.03818,31
2.05485,33
2.07023,35
2.08452,37
2.07785,39
2.07217,41
2.06727,43
2.06299,45
2.05924,47
2.0559,49
2.05293,51
2.05934,54
2.06562,56
2.07176,58
2.07776,60
2.08362,62
2.08026,64
2.07715,66
2.07428,68
2.07161,70
2.06913,72
2.06682,74
2.06465,76
2.06262,78
2.06072,80
2.06448,83
2.0682,85
2.07187,87
2.07549,89
2.07906,91
2.07702,93
2.07509,95
2.07326,97
2.07151,99
2.06984,101
2.06825,103
2.06673,105
2.06945,108
2.07214,110
2.0748,112
2.07745,114
2.08006,116
2.07849,118
2.07698,120
2.07553,122
2.07412,124
2.07278,126
2.07147,128
2.07022,130
2.06901,132
2.07111,135
2.07321,137
2.07529,139
2.07735,141
2.07941,143
2.07816,145
2.07696,147
2.07579,149
2.07466,151
2.07356,153
2.07249,155
2.07424,158
2.07597,160
2.07769,162
2.07941,164
2.08111,166
2.08003,168
2.07897,170
2.07795,172
2.07695,174
2.07597,176
2.07502,178
2.0741,180
2.07319,182
2.07231,184
2.07145,186
2.07061,188
2.07206,191
2.0735,193
2.07494,195
2.07637,197
2.0778,199
2.08984,207
2.11454,215
2.15162,223
2.20081,231
2.26189,239
2.32168,247
2.38025,255
2.48562,287
2.65051,319
2.91496,351
3.32273,383
3.97374,415
4.99468,447
6.96521,479
10.7783,511
15.8028,543
21.0528,575
25.8738,607
29.0338,607
29.7164,607
29.0327,639
27.4327,639
25.4635,639
24.1343,671
23.0122,671
21.6158,671
20.6558,703
19.8251,703
18.7825,703
18.0565,735
17.4165,735
16.608,735
16.0396,767
15.5314,767
14.886,767
14.4289,799
14.0155,799
13.4882,799
13.0082,799
12.6654,831
12.2265,831
11.8237,831
11.4527,831
11.1861,863
10.8432,863
10.5254,863
10.23,863
10.0167,895
9.74141,895
9.48427,895
9.24352,895
9.18158,927
9.06158,927
8.94897,927
8.84309,927
8.89764,959
8.78503,959
8.67914,959
8.5794,959
8.63074,991
8.52486,991
8.42512,991
8.331,991
8.3794,1023
8.27966,1023
8.18555,1023
8.09659,1023
8.1423,1055
8.04819,1055
7.95923,1055
7.87502,1055
7.91826,1087
7.8293,1087
7.74509,1087
7.66526,1087
7.74947,1119
7.70623,1119
7.66526,1119
7.62639,1119
7.74947,1151
7.70623,1151
7.66526,1151
7.62639,1151
7.74947,1183
7.70623,1183
7.66526,1183
7.62639,1183
7.74947,1215
7.70623,1215
7.66526,1215
7.62639,1215
7.74947,1247
7.70623,1247
7.66526,1247
7.62639,1247
7.74947,1279
7.70623,1279
7.66526,1279
7.62639,1279
7.74947,1311
7.70623,1311
7.66526,1311
7.62639,1311
7.74947,1343
7.70623,1343
7.66526,1343
7.62639,1343
7.70502,1367
7.61854,1367
7.53547,1367
7.45557,1367
7.48976,1391
7.40448,1391
7.32254,1391
7.24373,1391
7.28783,1415
7.22062,1415
7.15988,1415
7.10504,1415
7.15017,1439
7.07505,1439
7.00257,1439
6.93259,1439
6.95584,1463
6.8817,1463
6.81015,1463
6.74105,1463
6.76151,1487
6.68834,1487
6.61773,1487
6.54951,1487
6.59264,1511
6.54819,1511
6.50832,1511
6.47266,1511
6.51663,1535
6.45118,1535
6.3878,1535
6.32637,1535
6.33952,1559
6.27488,1559
6.21227,1559
6.22521,1583
6.23604,1583
6.1722,1583
6.21472,1607
6.2569,1607
6.22512,1607
6.26875,1631
6.31204,1631
6.25061,1631
6.30013,1655
6.3468,1655
6.31897,1655
6.40633,1679
6.48989,1679
6.4608,1679
6.55223,1703
6.63959,1703
6.60915,1703
6.70493,1727
6.79636,1727
6.76447,1727
6.86493,1751
6.96072,1751
6.92727,1751
7.03276,1775
7.13323,1775
7.09811,1775
7.20902,1799
7.31451,1799
7.27759,1799
7.39435,1823
7.50526,1823
7.46639,1823
7.58947,1847
7.70623,1847
7.66526,1847
7.74947,1871
7.8293,1871
7.74509,1871
7.78834,1895
