servicetime,time
8,64
8,72
8,80
8,88
8,96
8,104
8.28333,129
8.54487,137
8.78773,145
9.0144,153
9.2269,161
9.14356,169
9.07091,177
9.007,185
8.95034,193
8.89974,201
8.85429,209
8.82192,218
8.79297,226
8.76697,234
8.74353,242
8.72232,250
8.69437,258
8.6685,266
8.6445,274
8.62217,282
8.60134,290
8.58186,298
8.56948,307
8.55806,315
8.5505,323
8.54657,331
8.54605,339
8.54286,347
8.54286,355
8.54286,363
8.54286,371
8.54286,379
8.54857,388
8.55429,396
8.56,404
8.46857,412
8.37667,420
8.2786,428
8.18053,436
8.08246,444
8.08153,452
8.08108,460
8.08108,468
8.08649,477
8.09189,485
8.0973,493
8.1027,501
8.10811,509
8.1027,517
8.0973,525
8.09189,533
8.08649,541
8.08108,549
8.08649,558
8.09189,566
8.0973,574
8.1027,582
8.10811,590
8.10811,598
8.1027,606
8.0973,614
8.09189,622
8.09189,631
8.09189,639
8.0973,647
8.1027,655
8.10811,663
8.10811,671
8.10811,679
8.1027,687
8.0973,695
8.09189,703
8.08649,711
8.08649,720
8.09189,728
8.0973,736
8.1027,744
8.10811,752
8.10811,760
8.10811,768
8.1027,776
8.0973,784
8.09189,792
8.09189,801
8.09189,809
8.0973,817
8.1027,825
8.10811,833
8.10811,841
8.10811,849
8.1027,857
8.0973,865
8.09189,873
8.08649,881
8.08649,890
8.09189,898
8.0973,906
8.1027,914
8.10811,922
8.1027,930
8.0973,938
8.09189,946
8.08649,954
8.08108,962
8.08108,970
8.08649,979
8.09189,987
8.0973,995
8.1027,1003
8.10811,1011
8.1027,1019
8.0973,1027
8.09189,1035
8.08649,1043
8.08108,1051
8.08108,1059
8.08108,1067
8.08649,1076
8.09189,1084
8.0973,1092
8.0973,1100
8.0973,1108
8.09189,1116
8.08649,1124
8.08108,1132
8.08108,1140
8.08108,1148
8.08649,1157
8.09189,1165
8.0973,1173
8.1027,1181
8.1027,1189
8.0973,1197
8.09189,1205
8.08649,1213
8.08108,1221
8.08649,1230
8.09189,1238
8.0973,1246
8.1027,1254
8.10811,1262
8.10811,1270
8.1027,1278
8.0973,1286
8.09189,1294
8.08649,1302
8.08649,1311
8.09189,1319
8.0973,1327
8.1027,1335
8.10811,1343
8.10811,1351
8.10811,1359
8.10811,1367
8.1027,1375
8.0973,1383
8.0973,1392
8.0973,1400
8.0973,1408
8.1027,1416
8.10811,1424
8.10811,1432
8.10811,1440
8.10811,1448
8.1027,1456
8.0973,1464
8.0973,1473
8.0973,1481
8.0973,1489
8.1027,1497
8.10811,1505
8.10811,1513
8.10811,1521
8.1027,1529
8.0973,1537
8.09189,1545
8.09189,1554
8.09189,1562
8.0973,1570
8.1027,1578
8.10811,1586
8.10811,1594
8.10811,1602
8.1027,1610
8.0973,1618
8.09189,1626
8.08649,1634
8.08649,1643
8.09189,1651
8.0973,1659
8.1027,1667
8.10811,1675
8.10811,1683
8.1027,1691
8.0973,1699
8.09189,1707
8.09189,1716
8.09189,1724
8.0973,1732
8.1027,1740
8.10811,1748
8.10811,1756
8.10811,1764
8.1027,1772
8.0973,1780
8.09189,1788
8.09189,1797
8.09189,1805
8.0973,1813
8.1027,1821
8.10811,1829
8.10811,1837
8.10811,1845
8.1027,1853
8.0973,1861
8.09189,1869
8.09189,1878
8.09189,1886
8.0973,1894
8.1027,1902
8.10811,1910
8.10811,1918
8.10811,1926
8.10811,1934
8.1027,1942
8.0973,1950
8.09189,1958
8.09189,1967
8.09189,1975
8.0973,1983
8.1027,1991
8.10811,1999
8.10811,2007
8.1027,2015
8.0973,2023
8.09189,2031
8.08649,2039
8.08108,2047
8.08649,2056
8.08649,2063
8.09189,2072
8.09189,2079
8.0973,2088
8.08649,2095
8.08649,2104
8.07568,2111
8.07568,2120
8.06486,2127
8.07027,2136
8.06486,2143
8.07027,2152
8.03784,2154
7.99018,2158
7.90217,2159
7.8247,2168
7.70592,2170
7.60213,2174
7.48775,2175
7.41321,2184
7.30845,2186
7.22053,2190
7.12193,2191
7.0592,2200
6.96917,2202
6.88606,2206
6.79653,2207
6.73958,2216
6.65788,2218
6.5812,2222
6.50383,2224
6.45192,2232
6.37747,2234
6.30646,2238
6.23583,2240
6.18407,2248
