servicetime,time
8,24
8,32
8,40
8,48
8,56
8,64
8,72
8.125,81
8.11111,89
8.1,97
8.09091,105
8.08333,113
8.07692,121
8.07143,129
8.06667,137
8.0625,145
8.05882,153
8.05556,161
8.05263,169
8.05,177
8.04762,185
8.04545,193
8.04348,201
8.04167,209
8.08,218
8.07692,226
8.07407,234
8.07143,242
8.06897,250
8.06667,258
8.06452,266
8.0625,274
8.06061,282
8.05882,290
8.05714,298
8.05556,306
8.05405,314
8.05405,322
8.05405,330
8.05405,338
8.05405,346
8.08108,355
8.08108,363
8.08108,371
8.05405,379
8.05405,387
8.05405,395
8.05405,403
8.05405,411
8.05405,419
8.05405,427
8.05405,435
8.05405,443
8.05405,451
8.05405,459
8.05405,467
8.05405,475
8.05405,483
8.08108,492
8.08108,500
8.08108,508
8.05405,516
8.05405,524
8.05405,532
8.05405,540
8.05405,548
8.05405,556
8.05405,564
8.05405,572
8.05405,580
8.05405,588
8.05405,596
8.05405,604
8.05405,612
8.05405,620
8.08108,629
8.08108,637
8.08108,645
8.05405,653
8.05405,661
8.05405,669
8.05405,677
8.05405,685
8.05405,693
8.05405,701
8.05405,709
8.05405,717
8.05405,725
8.05405,733
8.05405,741
8.05405,749
8.08108,758
8.08108,766
8.08108,774
8.08108,782
8.05405,790
8.05405,798
8.05405,806
8.05405,814
8.05405,822
8.05405,830
8.05405,838
8.05405,846
8.05405,854
8.05405,862
8.05405,870
8.05405,878
8.05405,886
8.08108,895
8.08108,903
8.08108,911
8.08108,919
8.05405,927
8.05405,935
8.05405,943
8.05405,951
8.05405,959
8.05405,967
8.05405,975
8.05405,983
8.05405,991
8.05405,999
8.05405,1007
8.05405,1015
8.05405,1023
8.05405,1031
8.08108,1040
8.08108,1048
8.05405,1056
8.05405,1064
8.05405,1072
8.05405,1080
8.05405,1088
8.05405,1096
8.05405,1104
8.05405,1112
8.05405,1120
8.05405,1128
8.05405,1136
8.05405,1144
8.05405,1152
8.05405,1160
8.05405,1168
8.05405,1176
8.08108,1185
8.05405,1193
8.08108,1202
8.08108,1210
8.08108,1218
8.08108,1226
8.08108,1234
8.08108,1242
8.08108,1250
8.08108,1258
8.10811,1267
8.10811,1275
8.10811,1283
8.10811,1291
8.10811,1299
8.10811,1307
8.10811,1315
8.10811,1323
8.10811,1331
8.08108,1339
8.08108,1347
8.08108,1355
8.08108,1363
8.08108,1371
8.08108,1379
8.08108,1387
8.08108,1395
8.10811,1404
8.10811,1412
8.10811,1420
8.10811,1428
8.10811,1436
8.10811,1444
8.10811,1452
8.10811,1460
8.10811,1468
8.10811,1476
8.08108,1484
8.08108,1492
8.05405,1500
8.05405,1508
8.05405,1516
8.05405,1524
8.22222,1538
8.22222,1546
8.22222,1554
8.22222,1563
8.22222,1571
8.22222,1579
8.22222,1587
8.25,1596
8.25,1604
8.37143,1616
8.37143,1624
8.45714,1635
8.45714,1643
8.45714,1651
8.45714,1659
8.45714,1667
8.48571,1676
8.48571,1684
8.48571,1692
8.45714,1700
8.45714,1708
8.45714,1716
8.45714,1724
8.48571,1733
8.45714,1740
8.45714,1748
8.45714,1756
8.45714,1764
8.45714,1772
8.48571,1781
8.48571,1789
8.51429,1798
8.48571,1805
8.48571,1813
8.48571,1821
8.34286,1830
8.30556,1837
8.30556,1845
8.30556,1853
8.27778,1861
8.27778,1869
8.27778,1877
8.30556,1886
8.27778,1894
8.27778,1902
8.16667,1910
8.16667,1918
8.11111,1927
8.08108,1934
8.08108,1942
8.08108,1950
8.08108,1958
8.08108,1966
8.05405,1974
8.05405,1982
8.05405,1990
8.13889,2001
8.08108,2007
8.08108,2015
8.08108,2023
8.05405,2031
8.08108,2039
8.10811,2048
8.08108,2055
7.97297,2059
7.86842,2063
7.81579,2069
7.69231,2072
7.66667,2080
7.5,2081
7.4,2085
7.31707,2089
7.26829,2096
7.11905,2097
7.04762,2101
6.97674,2105
6.95349,2112
6.81818,2113
6.72727,2117
6.66667,2121
6.64444,2129
6.52174,2130
6.43478,2133
6.36957,2138
6.38298,2145
6.23404,2146
6.1875,2150
6.10417,2154
6.12245,2161
6.02041,2164
5.98,2168
5.92,2173
5.84,2178
5.80392,2182
5.76923,2186
5.69231,2190
5.63462,2195
5.60377,2199
5.54717,2204
5.51852,2208
5.44444,2212
5.41818,2216
5.34545,2221
5.32143,2225
5.26786,2229
5.23214,2235
5.21053,2239
5.14035,2243
5.12069,2247
5.05172,2251
5.0339,2255
4.9661,2259
4.98333,2265
4.88333,2267
4.88525,2272
4.81967,2276
4.83871,2282
4.75806,2285
4.7619,2290
4.65079,2294
4.64062,2298
4.625,2303
4.61538,2307
4.56923,2312
4.50769,2316
4.5,2320
4.45455,2325
4.46269,2330
4.40299,2334
4.41176,2339
4.33824,2343
4.34783,2348
4.31884,2353
4.33333,2358
4.33333,2362
4.31884,2367
4.33333,2371
4.27536,2375
4.28571,2380
4.33333,2384
4.33333,2388
4.28986,2392
4.34783,2397
4.41176,2405
4.36765,2409
4.43284,2414
4.43284,2418
4.37313,2422
4.39706,2428
4.46269,2432
4.44776,2436
4.40299,2440
4.5,2447
4.5,2451
4.45455,2455
4.47761,2461
4.5,2465
4.48485,2469
4.48485,2474
4.47761,2478
4.47761,2482
4.47761,2486
4.47761,2490
4.51515,2497
4.5,2501
4.5,2505
4.5303,2511
4.5,2513
4.48485,2517
4.51515,2523
4.5303,2528
4.54545,2535
4.54545,2539
4.6,2546
4.6,2550
4.6,2554
4.6,2558
4.56923,2562
4.6,2566
4.58462,2570
4.58462,2574
4.55385,2578
4.54545,2582
4.55385,2586
4.56923,2591
4.56923,2595
4.55385,2599
4.54545,2603
4.54545,2607
4.5303,2611
4.5303,2615
4.5303,2619
4.51515,2623
4.5,2627
4.5,2631
4.48485,2635
4.47761,2639
4.47761,2643
4.46269,2647
4.44776,2651
4.43284,2655
4.44776,2660
4.43284,2664
4.43284,2668
4.43284,2672
4.41791,2676
4.41176,2680
4.41176,2684
4.41176,2688
4.41176,2692
4.39706,2696
4.33824,2700
4.33333,2704
4.33333,2708
4.31884,2712
4.31884,2716
4.31884,2720
4.28986,2724
4.30435,2729
4.30435,2733
4.30435,2737
4.26087,2741
4.25714,2745
4.25714,2749
4.25714,2753
4.22857,2757
4.22535,2761
4.22535,2765
4.22535,2769
4.21127,2773
4.21127,2777
4.21127,2781
4.27143,2789
4.24286,2794
4.24286,2798
4.27143,2804
4.24286,2808
4.27143,2812
4.27143,2816
4.24286,2820
4.22857,2824
4.22857,2831
4.22535,2835
4.22535,2839
4.1831,2843
4.1831,2847
4.1831,2851
4.1831,2855
4.1831,2859
4.19718,2864
4.19718,2868
4.19718,2872
4.19718,2876
4.19718,2880
4.19718,2884
4.1831,2888
4.1831,2892
4.1831,2896
4.19718,2901
4.19718,2905
4.19718,2909
4.19718,2913
4.19718,2917
4.21127,2922
4.21127,2926
4.21127,2930
4.21127,2934
4.21127,2938
4.21127,2942
4.21127,2946
4.21127,2950
4.21127,2954
4.19718,2958
